algo,no,entropy,cm,dm,discern,precision,ilm,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse,auroc,lr_acc
datafly_shuffled,51,0.8099464808506587,0.5566870332654447,0.26666666666666666,0.27798172029778834,0.2592592592592593,0.21111111111111108,0.2579704185640458,0.002793473510747657,0.125,0.125,0.21428571428571427,0.31110135811670275,0.6031863629025899,0.43389830508474575
mondrian,51,0.4004002367022762,0.4378818737270876,0.8333333333333334,0.015260431141400608,0.5728043046440874,0.15431093007467758,0.2614547136846001,0.02709560914608087,0.00558659217877095,0.005685136824826035,0.117924223321372,0.25555110817789284,0.6183704698523339,0.4406779661016949
datafly,52,0.7725646307903001,0.5587236931432451,0.3333333333333333,0.25873784237570685,0.37011893087928405,0.1778607528098363,0.15673202919083917,0.48070890598918575,0.06666666666666667,0.06313645621181263,0.190540846345327,0.2878309044707448,0.6041820591571162,0.43050847457627117
datafly_shuffled,52,0.828123309219677,0.5695858791581806,0.3333333333333333,0.3783481715919361,0.3899449347514521,0.1884362978049332,0.15673202919083917,0.49000473272722045,0.09090909090909091,0.09288017651052274,0.20187178741150227,0.31585813045417527,0.6031209456025657,0.43050847457627117
mondrian,52,0.40391919310582497,0.43109300746775286,0.8666666666666667,0.023475281936131194,0.6279198410902416,0.14246813004450473,0.21780737396202804,0.04837884879969759,0.004166666666666667,0.006213983871138832,0.10465360618110109,0.29627235142159686,0.652861729648328,0.4915254237288136
datafly,53,0.7725646307903001,0.5587236931432451,0.3333333333333333,0.25873784237570685,0.37011893087928405,0.1778607528098363,0.15673202919083917,0.48070890598918575,0.06666666666666667,0.06313645621181263,0.190540846345327,0.2878309044707448,0.6041820591571162,0.43050847457627117
datafly_shuffled,53,0.7472444512944304,0.5519348268839104,0.4,0.1954598938392767,0.2960951447034271,0.19593422342913175,0.21707544819896477,0.49020233584666617,0.0625,0.06313645621181263,0.190540846345327,0.2959808363985281,0.6345398901155533,0.43389830508474575
mondrian,53,0.3618356890853992,0.4120841819416157,0.8666666666666667,0.012840774124326125,0.691936335520857,0.11602926755676243,0.2417086470010654,0.023048432971366484,0.0037735849056603774,0.004397887562054481,0.09156887466459768,0.2710109491079779,0.6916055736143017,0.511864406779661
datafly,54,0.749384024668566,0.5498981670061099,0.4,0.19826946130138834,0.330756078549697,0.193588292977295,0.26741499550072306,0.4917254285087802,0.06666666666666667,0.07656568228105906,0.19547893835062877,0.2813406211809251,0.6215423058861296,0.43389830508474575
datafly_shuffled,54,0.8256287564702504,0.5675492192803802,0.26666666666666666,0.35552412305868614,0.2592592592592593,0.2111111111111111,0.26741499550072306,0.0036867527611210704,0.125,0.125,0.21428571428571427,0.2959728874831362,0.5835118188405191,0.43728813559322033
