algo,no,knn_auroc,knn_acc,knn_pca_auroc,knn_pca_acc,rf_auroc,rf_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly_shuffled,8,0.5002364664435123,0.4372881355932203,0.5558041493073629,0.4508474576271186,0.6436618339211878,0.4372881355932203,0.5984791840388992,0.4372881355932203,0.5629014419083852,0.4203389830508473,0.5817340872677536,0.4372881355932203
mondrian,8,0.5105994553816372,0.42372881355932196,0.5905000900646757,0.4474576271186441,0.6472288532481713,0.4271186440677966,0.6274799159638359,0.4203389830508473,0.6035193191447745,0.42372881355932196,0.6416722361531412,0.4542372881355932
datafly,9,0.4974445810910268,0.4372881355932203,0.5523178828991154,0.4610169491525424,0.6089876171465883,0.4372881355932203,0.6039971623064379,0.4203389830508473,0.6041820591571162,0.4305084745762712,0.5963477659145451,0.4305084745762712
datafly_shuffled,9,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5791413752175073,0.4203389830508473,0.5768699684650741,0.4203389830508473,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,9,0.5485826339185501,0.4271186440677966,0.6051798768491056,0.464406779661017,0.6858388277926162,0.464406779661017,0.6453820695303226,0.43389830508474575,0.6802204931545609,0.4711864406779661,0.6771369993702882,0.5152542372881356
datafly,10,0.4754046466999357,0.4305084745762712,0.4416602882596337,0.33559322033898303,0.6126963897905373,0.464406779661017,0.5859260010879747,0.4372881355932203,0.6031863629025899,0.43389830508474575,0.603717083664724,0.43389830508474575
datafly_shuffled,10,0.47355288627059006,0.4372881355932203,0.5232186954219199,0.37627118644067803,0.6149138428515616,0.4677966101694915,0.5779430929672911,0.4372881355932203,0.601492910516623,0.4372881355932203,0.6015817520132006,0.4372881355932203
mondrian,10,0.5230009730554133,0.4033898305084746,0.5642328230323189,0.3864406779661017,0.650935668925993,0.4610169491525424,0.6390158370828628,0.4745762711864407,0.6753657967992278,0.4983050847457627,0.6275444839872252,0.4372881355932203
datafly,11,0.5360328822819201,0.4372881355932203,0.5751791408182242,0.3932203389830509,0.6005187650486956,0.4372881355932203,0.5947531834095834,0.43389830508474575,0.6140489499259659,0.4271186440677966,0.6030102879873315,0.4372881355932203
datafly_shuffled,11,0.5313198355752974,0.4372881355932203,0.5620974501789976,0.4033898305084746,0.5818411709691773,0.4372881355932203,0.5715889690173692,0.4372881355932203,0.5632112637203187,0.4372881355932203,0.5622162223536895,0.4372881355932203
mondrian,11,0.596155652194864,0.464406779661017,0.6384094244601879,0.4711864406779661,0.6832807420259058,0.4847457627118644,0.6641166116310014,0.4474576271186441,0.6298720494780287,0.4542372881355932,0.6785580773222025,0.4983050847457627
datafly,12,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5789851740303783,0.4372881355932203,0.5654480408353312,0.4169491525423729,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
datafly_shuffled,12,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5784863435665922,0.4203389830508473,0.5654863530215615,0.4169491525423729,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,12,0.5138366688234047,0.4406779661016949,0.5931098412994876,0.4440677966101695,0.649102236461781,0.4372881355932203,0.6529253897296945,0.4372881355932203,0.6109810433055167,0.4440677966101695,0.6286801694002775,0.4372881355932203
datafly,13,0.5026702050096731,0.4372881355932203,0.5756354836821204,0.4372881355932203,0.5810874604552703,0.4372881355932203,0.5697100683590076,0.4271186440677966,0.6032430814880846,0.4271186440677966,0.604937082300192,0.4305084745762712
datafly_shuffled,13,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5696871101924826,0.4203389830508473,0.5751632026715128,0.4169491525423729,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,13,0.4503126054613924,0.37966101694915255,0.4843431094461931,0.37966101694915255,0.6074971170435799,0.4271186440677966,0.6339381573953827,0.4474576271186441,0.6308824733513355,0.4745762711864407,0.6037021020862217,0.4440677966101695
datafly,14,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5811372792752671,0.4203389830508473,0.5764648792309213,0.42372881355932196,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
datafly_shuffled,14,0.449257330897944,0.39661016949152544,0.5062702884516942,0.39661016949152544,0.6069514072317789,0.4576271186440678,0.6035150074389609,0.4440677966101695,0.6086984532169843,0.4440677966101695,0.6096106895382295,0.4440677966101695
mondrian,14,0.4459949837447157,0.43389830508474575,0.5034218548873263,0.4271186440677966,0.6650649009120074,0.4610169491525424,0.6142962877540515,0.4372881355932203,0.6114100688374978,0.42372881355932196,0.6289599870601607,0.4440677966101695
datafly,15,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5781657074244863,0.4203389830508473,0.5789271985454012,0.4372881355932203,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
datafly_shuffled,15,0.4747356266826095,0.4372881355932203,0.5227902495993592,0.3423728813559322,0.5913031966743622,0.43389830508474575,0.5804876461217273,0.4271186440677966,0.5810628280611982,0.4372881355932203,0.6112741658128696,0.4305084745762712
mondrian,15,0.51467574873598,0.4271186440677966,0.5853422143390098,0.4406779661016949,0.6604491654186554,0.4542372881355932,0.600469797657059,0.4101694915254237,0.6401226265273188,0.4542372881355932,0.6525041819584692,0.5152542372881356
datafly,16,0.4954747805787911,0.42372881355932196,0.5692753132820305,0.4,0.596186997511703,0.4406779661016949,0.5919971305464029,0.4474576271186441,0.5979469845100764,0.4372881355932203,0.6018181776076109,0.4372881355932203
datafly_shuffled,16,0.4784038474094259,0.4305084745762712,0.4894145441335177,0.4101694915254237,0.5954941472541548,0.4372881355932203,0.582492017757552,0.4271186440677966,0.5835466213606508,0.42372881355932196,0.601597327423926,0.4474576271186441
mondrian,16,0.5486416073597051,0.4135593220338983,0.5961507538669787,0.43389830508474575,0.6589779932820333,0.464406779661017,0.6328186880131426,0.4271186440677966,0.6289285214450356,0.4372881355932203,0.6425385086228214,0.48813559322033895
datafly,17,0.4692581327249938,0.4271186440677966,0.5806399922234828,0.4203389830508473,0.628251424389664,0.4440677966101695,0.6164226616289278,0.4372881355932203,0.6195875139331609,0.4576271186440678,0.6185182733428881,0.4576271186440678
datafly_shuffled,17,0.5086517542496011,0.4203389830508473,0.5020964952460626,0.2644067796610169,0.623059121979182,0.4745762711864407,0.6081370305936978,0.4508474576271186,0.6279967582303968,0.42372881355932196,0.6257689323732389,0.42372881355932196
mondrian,17,0.5882477462272308,0.4576271186440678,0.6076791606943005,0.4474576271186441,0.6574421246771168,0.43389830508474575,0.6282936743230708,0.4440677966101695,0.6554035319547675,0.4542372881355932,0.6259771164902835,0.4711864406779661
datafly,18,0.4974445810910268,0.4372881355932203,0.5523178828991154,0.4610169491525424,0.5904051292483481,0.4372881355932203,0.6031385959210972,0.4203389830508473,0.6041820591571162,0.4305084745762712,0.5963477659145451,0.4305084745762712
datafly_shuffled,18,0.5195043406355155,0.4372881355932203,0.5115706109317856,0.4101694915254237,0.6161581063084111,0.4372881355932203,0.5757817130284215,0.4169491525423729,0.6020076451588617,0.4508474576271186,0.6039595620475364,0.4508474576271186
mondrian,18,0.5593077868758456,0.4508474576271186,0.6288550984712756,0.4406779661016949,0.6483770725361498,0.4372881355932203,0.6470818276690068,0.4372881355932203,0.6274700910830419,0.48813559322033895,0.5983152192527479,0.4542372881355932
datafly,19,0.5323803437016964,0.4372881355932203,0.5005878161287679,0.3728813559322034,0.6061121910878594,0.4508474576271186,0.5569344556774435,0.39661016949152544,0.591522795814064,0.4305084745762712,0.6028965696148423,0.4542372881355932
datafly_shuffled,19,0.4856526197321594,0.43389830508474575,0.5009648617413779,0.4033898305084746,0.6104787350099407,0.4305084745762712,0.6325518087787441,0.4169491525423729,0.6143061957831256,0.42372881355932196,0.6410045515807565,0.464406779661017
mondrian,19,0.4833933768261885,0.4,0.5779555835513748,0.4135593220338983,0.6392438448732926,0.4135593220338983,0.6673789608929207,0.4677966101694915,0.5808190433341259,0.4169491525423729,0.642574458287604,0.4711864406779661
datafly,20,0.5379264236349722,0.43389830508474575,0.5770178497189821,0.4474576271186441,0.5798066241771412,0.4372881355932203,0.5946158838983723,0.4474576271186441,0.5804902273707329,0.4508474576271186,0.5937208458995566,0.43389830508474575
datafly_shuffled,20,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5783045529241565,0.4203389830508473,0.5766037247305915,0.4372881355932203,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,20,0.5248198525152267,0.4135593220338983,0.5913303432238374,0.4474576271186441,0.6900706487336651,0.4779661016949153,0.6727766361033553,0.4542372881355932,0.6654801040298618,0.4677966101694915,0.6785514823719869,0.4779661016949153
