algo,no,bivariate_corr
mondrian,44,0.03735169342324346
mondrian,45,0.02404053472928422
mondrian,46,0.041243724857772134
mondrian,47,0.03714657574007343
mondrian,48,0.02629814306194314
mondrian,49,0.03154475881350197
mondrian,50,0.03011528785553423
mondrian,51,0.028439430222177178
mondrian,52,0.04269698361752952
mondrian,53,0.029693119172052095
mondrian,54,0.0442868419904448
mondrian,55,0.05562163876420609
mondrian,56,0.022864717749252625
mondrian,57,0.02732371381279282
mondrian,58,0.020673960454195475
mondrian,59,0.04355061203838279
mondrian,60,0.030067142488880545
mondrian,61,0.052867331787967126
mondrian,62,0.028930282677008284
mondrian,63,0.04006749708930407
mondrian,64,0.044190379932205974
mondrian,65,0.0426465240757626
mondrian,66,0.04905528303072292
mondrian,67,0.023505069505547142
mondrian,68,0.032926999844042966
mondrian,69,0.02705639947914998
mondrian,70,0.0275711163893253
mondrian,71,0.030840883543022786
mondrian,72,0.028589546903472096
mondrian,73,0.04876839031880852
mondrian,74,0.03465901764763532
mondrian,75,0.032383432959468286
mondrian,76,0.03400336295734152
mondrian,77,0.054642335011331436
mondrian,78,0.04327436937507323
mondrian,79,0.030861100307534993
mondrian,80,0.028604478117400918
mondrian,81,0.03607906647495835
mondrian,82,0.03768476686019201
mondrian,83,0.020160761322536237
mondrian,84,0.02758231489091524
mondrian,85,0.03364044836067198
mondrian,86,0.018576663523093465
mondrian,87,0.026938573482046292
mondrian,88,0.02180727105377199
mondrian,89,0.0428605148432837
mondrian,90,0.03147372665185874
mondrian,91,0.02995678347434947
mondrian,92,0.02502005720481084
mondrian,93,0.03278564703903212
mondrian,94,0.041868038856907056
mondrian,95,0.025262077719030895
mondrian,96,0.04178170979488802
mondrian,97,0.022437888057114937
mondrian,98,0.04533172618375433
mondrian,99,0.059650665397276995
mondrian,100,0.04679622134715083
mondrian,101,0.033005857916534646
mondrian,102,0.03147603637135417
mondrian,103,0.014200849555311037
mondrian,104,0.028429800043806262
mondrian,105,0.0288951664972302
mondrian,106,0.030880208867530713
mondrian,107,0.028268994841052122
mondrian,108,0.025800207234857195
mondrian,109,0.03865960499991228
mondrian,110,0.01798718039635588
mondrian,111,0.030359406310399014
mondrian,112,0.030377380817618968
mondrian,113,0.026991225197962224
mondrian,114,0.023595208870462396
mondrian,115,0.0555226242961528
mondrian,116,0.036369686471973375
mondrian,117,0.03087048687673127
mondrian,118,0.0638508610172141
mondrian,119,0.06319977680005198
mondrian,120,0.03838528962533462
mondrian,121,0.030841315976544832
mondrian,122,0.0475794229069557
mondrian,123,0.04127881416529777
mondrian,124,0.03301030293214094
mondrian,125,0.03736362194786767
mondrian,126,0.06521129029016673
mondrian,127,0.04048314256039952
mondrian,128,0.039030379321869896
mondrian,129,0.04391434712810859
mondrian,130,0.029641924989926138
mondrian,131,0.023632930230054694
mondrian,132,0.06519419186035737
mondrian,133,0.03772534535003074
mondrian,134,0.03194478603598727
mondrian,135,0.02544171080752664
mondrian,136,0.04087818247237544
mondrian,137,0.0829136382244763
mondrian,138,0.04987227956265237
mondrian,139,0.02446694772429199
mondrian,140,0.021053440228309312
mondrian,141,0.0285918248971838
mondrian,142,0.025292178339572216
mondrian,143,0.03470673278679722
mondrian,144,0.05071675530778265
mondrian,145,0.024848223140952815
mondrian,146,0.059460058813826766
mondrian,147,0.04567411446020507
mondrian,148,0.036524933099593815
mondrian,149,0.022356441144412736
mondrian,150,0.026537125803308963
mondrian,151,0.03652128074968339
mondrian,152,0.03128092069661258
mondrian,153,0.024296767309663635
mondrian,154,0.028824058038279227
mondrian,155,0.019370872918307882
mondrian,156,0.04114272371369883
mondrian,157,0.0400596673053579
mondrian,158,0.05933939274003906
mondrian,159,0.055463635251402965
mondrian,160,0.026221183746598146
mondrian,161,0.030165163491680115
mondrian,162,0.03840336378168716
mondrian,163,0.02983937837318447
mondrian,164,0.02737997363452821
mondrian,165,0.03609242448111602
mondrian,166,0.05653781480898805
mondrian,167,0.031990101516686326
mondrian,168,0.03951778301543972
mondrian,169,0.05564312231060729
mondrian,170,0.0277982110357445
mondrian,171,0.030314579658650316
mondrian,172,0.05272452195783636
mondrian,173,0.01375331814190505
mondrian,174,0.032063895139384284
mondrian,175,0.025068238160375254
mondrian,176,0.03350266248373443
mondrian,177,0.032610850113658114
mondrian,178,0.039134265369316544
mondrian,179,0.034681554975407446
mondrian,180,0.03264531867595761
mondrian,181,0.016515710817314316
mondrian,182,0.03588602164375909
mondrian,183,0.016966358511107192
mondrian,184,0.07717396669494975
mondrian,185,0.035544576341618374
mondrian,186,0.06875248831147977
mondrian,187,0.03486501578265198
mondrian,188,0.04120595817552172
mondrian,189,0.03923855777499737
mondrian,190,0.027800149379270018
mondrian,191,0.03173645209311994
mondrian,192,0.03522155026567508
mondrian,193,0.02935611949994932
mondrian,194,0.06652039996997051
mondrian,195,0.025294279992450926
mondrian,196,0.0364794859355796
mondrian,197,0.04843236504613664
mondrian,198,0.04472407599658645
mondrian,199,0.019066616561128978
mondrian,200,0.029219645419184627
