algo,no,knn_auroc,knn_acc,knn_pca_auroc,knn_pca_acc,rf_auroc,rf_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly_shuffled,4,0.5027108874046237,0.43728813559322033,0.5618955007899588,0.4271186440677966,0.6153689009726494,0.43389830508474575,0.6083807639862165,0.4271186440677966,0.6163816922939195,0.45084745762711864,0.6201068627136935,0.4576271186440678
mondrian,4,0.5661546094589242,0.4711864406779661,0.606173039343204,0.46779661016949153,0.6887880940465188,0.4745762711864407,0.6292558197797095,0.43728813559322033,0.6595375565826171,0.45084745762711864,0.6411506948140743,0.48135593220338985
datafly,5,0.47105975696233987,0.43389830508474575,0.48967728881552075,0.288135593220339,0.5906424553641352,0.43728813559322033,0.5953848900678382,0.41694915254237286,0.6046316352209139,0.43050847457627117,0.6082588372521426,0.43050847457627117
datafly_shuffled,5,0.5311658646533505,0.43728813559322033,0.5642420892185649,0.43728813559322033,0.583801522613686,0.44745762711864406,0.5816906426805359,0.43389830508474575,0.6059387800197935,0.43728813559322033,0.5973191077685572,0.46440677966101696
mondrian,5,0.5475917706430753,0.43728813559322033,0.5638556179188586,0.4135593220338983,0.6684673641830408,0.4745762711864407,0.6453262455274433,0.4542372881355932,0.6696498826183972,0.47796610169491527,0.6644768611151327,0.49491525423728816
datafly,6,0.45797554868191503,0.4067796610169492,0.4725064844635072,0.3559322033898305,0.6301783389259678,0.48135593220338985,0.6012113341337454,0.43728813559322033,0.5948100184258714,0.48135593220338985,0.5940078443776878,0.48135593220338985
datafly_shuffled,6,0.4908623140146359,0.43728813559322033,0.5626545721161108,0.4406779661016949,0.5857361758507436,0.45084745762711864,0.5510531736732781,0.43389830508474575,0.5608472352846867,0.41694915254237286,0.5843372148717223,0.43728813559322033
mondrian,6,0.48918012920387954,0.41694915254237286,0.5843630335596844,0.44745762711864406,0.6754755650483778,0.4745762711864407,0.6495637046980068,0.47796610169491527,0.6536328301706485,0.49491525423728816,0.6698045586457683,0.5050847457627119
datafly,7,0.4607009804840361,0.43728813559322033,0.5750528175648082,0.38305084745762713,0.6230377177830818,0.4711864406779661,0.6267828682439921,0.4271186440677966,0.6325786597195148,0.423728813559322,0.6332159318752258,0.423728813559322
datafly_shuffled,7,0.5313198355752974,0.43728813559322033,0.5620974501789976,0.4033898305084746,0.5820279646555507,0.43728813559322033,0.5675020476311045,0.43728813559322033,0.5632112637203187,0.43728813559322033,0.5622162223536895,0.43728813559322033
