Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(analysis.py:17551): Gdk-CRITICAL **: 15:52:34.350: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
73 datafly {'dm': 0.4666666666666667, 'cm': 0.5691573926868044, 'entropy': 0.7108441416616491, 'acc': 0.36772486772486773}
73 mondrian {'dm': 0.8333333333333334, 'cm': 0.46952835188129305, 'entropy': 0.4871113567202622, 'acc': 0.3888888888888889}
74 datafly {'dm': 0.3333333333333333, 'cm': 0.5834658187599364, 'entropy': 0.8282228205862087, 'acc': 0.3439153439153439}
74 mondrian {'dm': 0.8333333333333334, 'cm': 0.442501324854266, 'entropy': 0.4539145465699381, 'acc': 0.36243386243386244}
75 datafly {'dm': 0.4666666666666667, 'cm': 0.5633280339162692, 'entropy': 0.6815241059227821, 'acc': 0.3941798941798942}
75 mondrian {'dm': 0.8333333333333334, 'cm': 0.43084260731319557, 'entropy': 0.4240324417005371, 'acc': 0.4444444444444444}
76 datafly {'dm': 0.3333333333333333, 'cm': 0.5850556438791733, 'entropy': 0.8302429683498823, 'acc': 0.3253968253968254}
76 mondrian {'dm': 0.8333333333333334, 'cm': 0.40911499735029144, 'entropy': 0.3767465124285005, 'acc': 0.4603174603174603}
77 datafly {'dm': 0.4666666666666667, 'cm': 0.5267620561738209, 'entropy': 0.6724098171975924, 'acc': 0.3915343915343915}
77 mondrian {'dm': 0.9, 'cm': 0.4059353471118177, 'entropy': 0.44548088443425266, 'acc': 0.47619047619047616}
78 datafly {'dm': 0.3333333333333333, 'cm': 0.5728669846316905, 'entropy': 0.7431816448485326, 'acc': 0.3783068783068783}
78 mondrian {'dm': 0.8333333333333334, 'cm': 0.40646528881823, 'entropy': 0.42725033868620066, 'acc': 0.37037037037037035}
79 datafly {'dm': 0.3333333333333333, 'cm': 0.5786963434022258, 'entropy': 0.8008228203507648, 'acc': 0.36507936507936506}
79 mondrian {'dm': 0.8, 'cm': 0.4848966613672496, 'entropy': 0.5324879987685687, 'acc': 0.4074074074074074}
80 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.7920787019879938, 'acc': 0.328042328042328}
80 mondrian {'dm': 0.9, 'cm': 0.3969263381028087, 'entropy': 0.37542602768090777, 'acc': 0.4470899470899471}
81 datafly {'dm': 0.4666666666666667, 'cm': 0.5691573926868044, 'entropy': 0.6827114004596732, 'acc': 0.3862433862433862}
81 mondrian {'dm': 0.8666666666666667, 'cm': 0.4430312665606783, 'entropy': 0.418272105906879, 'acc': 0.4523809523809524}
82 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.776958537065555, 'acc': 0.3492063492063492}
82 mondrian {'dm': 0.8666666666666667, 'cm': 0.41070482246952833, 'entropy': 0.38720078633054633, 'acc': 0.373015873015873}
83 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.7430285361356466, 'acc': 0.35978835978835977}
83 mondrian {'dm': 0.8, 'cm': 0.4133545310015898, 'entropy': 0.4047515079533107, 'acc': 0.35978835978835977}
84 datafly {'dm': 0.4666666666666667, 'cm': 0.5564387917329093, 'entropy': 0.7174866648969996, 'acc': 0.4074074074074074}
84 mondrian {'dm': 0.8333333333333334, 'cm': 0.4160042395336513, 'entropy': 0.450836633109168, 'acc': 0.373015873015873}
85 datafly {'dm': 0.3333333333333333, 'cm': 0.5659777424483307, 'entropy': 0.7526323310718299, 'acc': 0.4021164021164021}
85 mondrian {'dm': 0.8333333333333334, 'cm': 0.43243243243243246, 'entropy': 0.37476219439803504, 'acc': 0.4365079365079365}
86 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.7920787019879938, 'acc': 0.335978835978836}
86 mondrian {'dm': 0.8, 'cm': 0.41812400635930047, 'entropy': 0.41959812790024853, 'acc': 0.35185185185185186}
87 datafly {'dm': 0.3333333333333333, 'cm': 0.5728669846316905, 'entropy': 0.753819625608721, 'acc': 0.373015873015873}
87 mondrian {'dm': 0.8666666666666667, 'cm': 0.4271330153683095, 'entropy': 0.4677814277754451, 'acc': 0.35185185185185186}
88 datafly {'dm': 0.3333333333333333, 'cm': 0.5818759936406995, 'entropy': 0.784410284456158, 'acc': 0.3915343915343915}
88 mondrian {'dm': 0.8333333333333334, 'cm': 0.4287228404875464, 'entropy': 0.403293503082788, 'acc': 0.46296296296296297}
89 datafly {'dm': 0.3333333333333333, 'cm': 0.5850556438791733, 'entropy': 0.7882596553254528, 'acc': 0.36243386243386244}
89 mondrian {'dm': 0.8, 'cm': 0.4069952305246423, 'entropy': 0.4198886416197596, 'acc': 0.4365079365079365}
90 datafly {'dm': 0.4666666666666667, 'cm': 0.5691573926868044, 'entropy': 0.6720734196994848, 'acc': 0.3888888888888889}
90 mondrian {'dm': 0.8333333333333334, 'cm': 0.43614202437731847, 'entropy': 0.47458369198304257, 'acc': 0.37566137566137564}
91 datafly {'dm': 0.4666666666666667, 'cm': 0.5691573926868044, 'entropy': 0.7008038346543197, 'acc': 0.35185185185185186}
