algo,no,knn_auroc,knn_acc,knn_pca_auroc,knn_pca_acc,rf_auroc,rf_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,150,0.4954747805787911,0.42372881355932196,0.5692753132820305,0.4,0.5988037336810438,0.4406779661016949,0.5959991636008463,0.4474576271186441,0.5979469845100764,0.4372881355932203,0.6018181776076109,0.4372881355932203
datafly_shuffled,150,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5791875338572828,0.4203389830508473,0.5642540992119881,0.4169491525423729,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,150,0.5777588626210198,0.48813559322033895,0.6303278159012561,0.4542372881355932,0.6590611059932678,0.4406779661016949,0.6414162276241188,0.4576271186440678,0.6777548595562563,0.48813559322033895,0.6440010981856921,0.4813559322033898
datafly,151,0.4606406893899013,0.4372881355932203,0.5269454300103612,0.4,0.5782225162477282,0.4372881355932203,0.5666042341872649,0.4203389830508473,0.6031209456025657,0.4305084745762712,0.6094108748543796,0.4305084745762712
datafly_shuffled,151,0.468791973364548,0.4271186440677966,0.490876878470891,0.31186440677966104,0.5969621116061298,0.4372881355932203,0.5680739354063182,0.4372881355932203,0.5969936312632398,0.4508474576271186,0.5927890074259854,0.4271186440677966
mondrian,151,0.53148649595501,0.4271186440677966,0.609057362360531,0.4508474576271186,0.7012248456707119,0.4711864406779661,0.6529850182785967,0.4542372881355932,0.682357499656696,0.511864406779661,0.6261326639533186,0.4474576271186441
datafly,152,0.4588412490489919,0.4372881355932203,0.5687022005744885,0.3864406779661017,0.5906155520166906,0.4372881355932203,0.5757143889835393,0.4372881355932203,0.6031511820661096,0.4305084745762712,0.5960971049945939,0.4305084745762712
datafly_shuffled,152,0.5313198355752974,0.4372881355932203,0.5620974501789976,0.4033898305084746,0.581794472547584,0.4372881355932203,0.5825698236573632,0.4372881355932203,0.5632112637203187,0.4372881355932203,0.5622162223536895,0.4372881355932203
mondrian,152,0.5270949336399131,0.4406779661016949,0.6381887004480634,0.4576271186440678,0.6354147080333029,0.42372881355932196,0.6386158439182829,0.4440677966101695,0.5882966869393442,0.4271186440677966,0.5983656109986171,0.4372881355932203
datafly,153,0.4842494038341629,0.42372881355932196,0.5807107653259741,0.42372881355932196,0.5740962294431023,0.43389830508474575,0.6020619536922315,0.4372881355932203,0.5974415657196467,0.4372881355932203,0.5988319979956991,0.4372881355932203
datafly_shuffled,153,0.4993249712279271,0.4372881355932203,0.4986895974197318,0.3932203389830509,0.5728409975251879,0.4372881355932203,0.5730332532877426,0.4372881355932203,0.5730533052517015,0.4372881355932203,0.5765009396057146,0.4372881355932203
mondrian,153,0.5244480161108434,0.4542372881355932,0.5817683913098385,0.4372881355932203,0.6437404934628298,0.4474576271186441,0.6240082109199078,0.4711864406779661,0.5351875092388356,0.3559322033898305,0.5963530310002718,0.4305084745762712
datafly,154,0.4707919624850206,0.4372881355932203,0.5548603369706434,0.3491525423728813,0.5792119760818696,0.4169491525423729,0.5829501225046724,0.4033898305084746,0.5942990255778606,0.4847457627118644,0.6053431308810858,0.4305084745762712
datafly_shuffled,154,0.4784038474094259,0.4305084745762712,0.4894145441335177,0.4101694915254237,0.5928236649675417,0.4372881355932203,0.5855541419810181,0.42372881355932196,0.5835466213606508,0.42372881355932196,0.601597327423926,0.4474576271186441
mondrian,154,0.4985477698804038,0.42372881355932196,0.6041190997102629,0.4033898305084746,0.6610509949084632,0.4677966101694915,0.6557332757496098,0.4474576271186441,0.6240119684816045,0.4474576271186441,0.6496813077477058,0.4474576271186441
datafly,155,0.4538472565525383,0.4203389830508473,0.5098552278431102,0.3491525423728813,0.6107243438144545,0.4474576271186441,0.5983513526804874,0.4169491525423729,0.5839225208633089,0.3830508474576271,0.6260585002836617,0.4406779661016949
datafly_shuffled,155,0.4747356266826095,0.4372881355932203,0.5227902495993592,0.3423728813559322,0.5906386832287092,0.4372881355932203,0.5891945909090753,0.4135593220338983,0.5810628280611982,0.4372881355932203,0.6112741658128696,0.4305084745762712
mondrian,155,0.5298280975921874,0.4474576271186441,0.5731780004433052,0.4271186440677966,0.6607299364238371,0.4542372881355932,0.6056162884430589,0.4406779661016949,0.6347181238306469,0.4610169491525424,0.6333966898279592,0.464406779661017
datafly,156,0.4974445810910268,0.4372881355932203,0.5523178828991154,0.4610169491525424,0.6039895876831609,0.4372881355932203,0.5924077756700907,0.4203389830508473,0.6041820591571162,0.4305084745762712,0.5963477659145451,0.4305084745762712
datafly_shuffled,156,0.4638812753393102,0.4033898305084746,0.4642717271316201,0.4067796610169492,0.5790628305480613,0.4372881355932203,0.5763390786241053,0.4169491525423729,0.5837739318311598,0.4305084745762712,0.58511553955833,0.4305084745762712
mondrian,156,0.5072193877178949,0.4169491525423729,0.604247520016481,0.4576271186440678,0.6745504728034749,0.4847457627118644,0.5972603115004662,0.4440677966101695,0.5774720243725192,0.3830508474576271,0.5786349812455089,0.4169491525423729
datafly,157,0.4943495323218484,0.4271186440677966,0.5092629317763511,0.31186440677966104,0.5697668495316435,0.4372881355932203,0.5697668495316435,0.4372881355932203,0.5696111881263323,0.4372881355932203,0.563089484688156,0.4372881355932203
datafly_shuffled,157,0.4943495323218484,0.4271186440677966,0.5092629317763511,0.31186440677966104,0.5696111881263323,0.4372881355932203,0.5697668495316435,0.4372881355932203,0.5696111881263323,0.4372881355932203,0.563089484688156,0.4372881355932203
mondrian,157,0.4864343905809021,0.39661016949152544,0.6077814861479648,0.4474576271186441,0.6714844444727194,0.4542372881355932,0.6645974827772716,0.4508474576271186,0.6473347212575237,0.4440677966101695,0.6494714529001354,0.4915254237288136
