algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly_shuffled,107,0.05000000000000005,0.0875,0.3547297297297297,0.913281303192661,0.035430350620891164,0.048214669274537714,0.5054054054054054
mondrian,107,0.40837501367764495,0.6025,0.2801351351351352,0.8284936761990758,0.000712527392257122,0.047333997155049816,0.4945945945945946
datafly,108,0.033333333333333215,0.0525,0.3367567567567568,0.9600008629166559,0.2634945215485756,0.04587208392603128,0.5054054054054054
datafly_shuffled,108,0.033328828828828816,0.09,0.39135135135135135,0.9381922221346528,0.08674254930606283,0.04822357752489331,0.5540540540540541
mondrian,108,0.4384403928219718,0.665,0.2033783783783784,0.8077354465963519,0.00033436815193571947,0.04574308321479377,0.4945945945945946
datafly,109,0.033328828828828816,0.0775,0.2927027027027027,0.9712722301006522,0.4830985390796202,0.046072830725462297,0.5054054054054054
datafly_shuffled,109,0.033333333333333215,0.06,0.4047297297297297,0.9456098420217148,0.14477925493060628,0.04832498221906116,0.5054054054054054
mondrian,109,0.4353022668417403,0.6575,0.21324324324324326,0.8079478185573568,0.0003384222059897736,0.04473460170697017,0.4945945945945946
datafly,110,0.033328828828828934,0.085,0.3604054054054054,0.9698878819708278,0.4512186632578524,0.04610695234708392,0.5054054054054054
datafly_shuffled,110,0.049999999999999815,0.0875,0.3724324324324325,0.9214673048732896,0.051759422936449966,0.047752453769559056,0.5054054054054054
mondrian,110,0.4179974103658314,0.6025,0.25513513513513514,0.8211620076199271,0.0005202337472607742,0.04572793385490749,0.4945945945945946
datafly,111,0.041797297297297316,0.09,0.3297297297297297,0.9666368136535612,0.3517216216216216,0.04622654694167851,0.5054054054054054
datafly_shuffled,111,0.03333333333333355,0.055,0.4058108108108108,0.938523270069903,0.09965810810810813,0.047997848506401125,0.5412162162162162
mondrian,111,0.4171826239194659,0.625,0.2439189189189189,0.8214308000030458,0.0005231921110299488,0.04609350995732573,0.4945945945945946
datafly,112,0.033328828828828816,0.08,0.3491891891891892,0.9714805836869124,0.4383909788166545,0.046319381223328585,0.5054054054054054
datafly_shuffled,112,0.058920045045045,0.135,0.3501351351351351,0.9121257677940124,0.0342954711468225,0.04726018847795164,0.5722972972972973
mondrian,112,0.4047779844621948,0.5725,0.3008108108108108,0.8285812547453674,0.0007171658144631117,0.04652464438122327,0.4945945945945946
datafly,113,0.01666666666666661,0.03,0.37608108108108107,0.987414671191016,0.7333827976625273,0.04813033428165008,0.5054054054054054
datafly_shuffled,113,0.05102364864864861,0.0675,0.3693243243243243,0.9495444115391898,0.16740555149744338,0.0484729196301565,0.5054054054054054
mondrian,113,0.4181141080351607,0.5975,0.23243243243243245,0.8180321727154763,0.0005210737764791819,0.0457930298719772,0.4945945945945946
datafly,114,0.03331981981982013,0.085,0.3222972972972973,0.966902891484523,0.37228856829802776,0.046120199146514926,0.5054054054054054
datafly_shuffled,114,0.01666666666666661,0.0275,0.4408108108108108,0.9719779049049478,0.35069978086194303,0.04947290184921764,0.5472972972972973
