algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly,177,0.01666666666666683,0.035,0.3868918918918919,0.9864032793328658,0.7009796566837108,0.04831155761024182,0.5054054054054054
datafly_shuffled,177,0.016666666666666607,0.0325,0.4239189189189189,0.969291966738222,0.2878147187728269,0.049448150782361304,0.5324324324324324
mondrian,177,0.4148037805011491,0.59,0.2560810810810811,0.8195828914413407,0.0005201972242512783,0.0456440967283072,0.4945945945945946
datafly,178,0.033333333333333215,0.07,0.36108108108108106,0.965606327995113,0.29646957633308985,0.04626041963015648,0.5054054054054054
datafly_shuffled,178,0.03333333333333344,0.06,0.3294594594594595,0.9445673617838837,0.146231738495252,0.04773714438122333,0.5560810810810811
mondrian,178,0.4317932669511618,0.6425,0.21081081081081082,0.8086344319865836,0.00033447772096420746,0.047082556899004195,0.4945945945945946
datafly,179,0.03333333333333344,0.065,0.38364864864864867,0.9659631798412658,0.2644187728268809,0.04642315078236132,0.5054054054054054
datafly_shuffled,179,0.04619256756756762,0.0925,0.36864864864864866,0.9483185073970635,0.15660712198685173,0.04777332859174964,0.5054054054054054
mondrian,179,0.4147151858336068,0.5975,0.25216216216216214,0.8202929217851722,0.0005248356464572681,0.046384086059743986,0.4945945945945946
datafly,180,0.043055180180180064,0.065,0.29081081081081084,0.961203060784136,0.3687688093498904,0.04589964438122333,0.5054054054054054
datafly_shuffled,180,0.04999324324324339,0.125,0.3560810810810811,0.9153861909699699,0.035831811541271,0.04788392603129444,0.5087837837837837
mondrian,180,0.4412121220410694,0.6525,0.2154054054054054,0.809688423638696,0.0003352447041636231,0.046376244665718304,0.4945945945945946
datafly,181,0.03331981981981946,0.0875,0.40635135135135136,0.9612143568660567,0.23001610664718772,0.04636162873399717,0.5054054054054054
datafly_shuffled,181,0.03333333333333355,0.055,0.40635135135135136,0.9345008970852612,0.07505047479912345,0.04792752489331438,0.5945945945945946
mondrian,181,0.432978735820841,0.645,0.22135135135135134,0.8097302518968872,0.0003342585829072316,0.04711132645803693,0.4945945945945946
datafly,182,0.033319819819819685,0.08,0.3560810810810811,0.966552056943405,0.3250336742147553,0.04622181721194878,0.5054054054054054
datafly_shuffled,182,0.033310810810810776,0.085,0.41743243243243244,0.950601416665162,0.14925858290723157,0.04845229374110952,0.5054054054054054
mondrian,182,0.4327327844038371,0.635,0.21986486486486487,0.8065843363561083,0.00033677867056245434,0.04576545163584641,0.4945945945945946
datafly,183,0.045966216216216216,0.09,0.3497297297297297,0.951296412599506,0.16388476990504017,0.04588744665718349,0.5736486486486486
datafly_shuffled,183,0.04202027027027011,0.0925,0.37554054054054054,0.9439116004778842,0.11110317750182615,0.048027133712660014,0.6222972972972973
mondrian,183,0.43540809534230585,0.6625,0.21554054054054053,0.8093265584918425,0.00033162892622352083,0.045157183499288725,0.4945945945945946
datafly,184,0.041676801801801555,0.09,0.34905405405405404,0.9615012963036552,0.27849057706355,0.04614623044096728,0.5054054054054054
datafly_shuffled,184,0.033319819819819685,0.0825,0.4205405405405405,0.9463728774756733,0.11744203798392988,0.04817451991465149,0.4966216216216216
mondrian,184,0.43232060400481453,0.65,0.22405405405405404,0.806048465396598,0.0003363403944485026,0.0459934566145092,0.4945945945945946
datafly,185,0.0487849099099098,0.0875,0.3312162162162162,0.9517043358549391,0.16756961285609934,0.045883997155049795,0.5054054054054054
datafly_shuffled,185,0.05129391891891888,0.0875,0.35135135135135137,0.9523920895631587,0.18710226442658875,0.048725568990042684,0.5054054054054054
mondrian,185,0.4030654520917678,0.585,0.28040540540540543,0.8282236301458781,0.0007204528853177502,0.047151493598862025,0.4945945945945946
datafly,186,0.05335585585585578,0.0675,0.33,0.943269605720874,0.10750047479912345,0.045785953058321484,0.5614864864864865
datafly_shuffled,186,0.033333333333333215,0.07,0.4272972972972973,0.9449746995006572,0.11076409788166545,0.04866902560455193,0.5054054054054054
mondrian,186,0.4169509428456797,0.6125,0.2606756756756757,0.8191442943019408,0.0005210372534696859,0.04582409317211942,0.4945945945945946
datafly,187,0.024993243243243257,0.04,0.43635135135135134,0.991531024181986,0.8208852081811542,0.048403182788051204,0.5054054054054054
datafly_shuffled,187,0.03333333333333344,0.065,0.40054054054054056,0.9484538002618421,0.1451326880934989,0.04816378022759601,0.5425675675675675
mondrian,187,0.4331210106868001,0.6275,0.2177027027027027,0.8083746405575115,0.0003348064280496713,0.045293225462304444,0.4945945945945946
datafly,188,0.016666666666666607,0.03,0.4745945945945946,0.9845555366003927,0.6038254565376187,0.04828349928876245,0.5054054054054054
datafly_shuffled,188,0.033333333333333215,0.065,0.3627027027027027,0.9478159624360942,0.13011884587289993,0.04900318278805121,0.6351351351351351
mondrian,188,0.4039996990918042,0.5675,0.2627027027027027,0.8279858171047949,0.0007213294375456537,0.046521159317211916,0.4945945945945946
datafly,189,0.05382770270270265,0.0725,0.34378378378378377,0.9704350018075952,0.47864978086194304,0.046471159317211956,0.5054054054054054
datafly_shuffled,189,0.04274436936936954,0.0675,0.3960810810810811,0.9423103362377966,0.09887063550036523,0.0483970839260313,0.5168918918918919
mondrian,189,0.4229036364299521,0.5925,0.23662162162162162,0.8198468272337235,0.0005226442658875091,0.04591973684210527,0.4945945945945946
datafly,190,0.01666666666666694,0.0275,0.38297297297297295,0.9810319818609793,0.5283392622352082,0.047984726173541964,0.5054054054054054
datafly_shuffled,190,0.01666666666666683,0.0375,0.4737837837837838,0.9776408515343259,0.4242126734842951,0.049382432432432434,0.5054054054054054
mondrian,190,0.40302715468504946,0.5525,0.287972972972973,0.828142779019556,0.0007275383491599708,0.04663719772403981,0.4945945945945946
datafly,191,0.01666666666666683,0.0375,0.46905405405405404,0.9966114566952105,0.9483048210372534,0.048661948790896165,0.5054054054054054
datafly_shuffled,191,0.03333333333333355,0.0575,0.3833783783783784,0.9409408734382216,0.10140394448502557,0.04814843527738265,0.5054054054054054
mondrian,191,0.4377840573366889,0.655,0.21797297297297297,0.8091926074359391,0.000335354273192111,0.045962002133712626,0.4945945945945946
datafly,192,0.025016891891891935,0.035,0.45972972972972975,0.9844726411079838,0.6367572680788897,0.04845657894736841,0.5054054054054054
datafly_shuffled,192,0.050000000000000044,0.0925,0.38324324324324327,0.9120388660397256,0.029036961285609935,0.047929818634423894,0.5939189189189189
mondrian,192,0.4117527537659117,0.57,0.2704054054054054,0.8281920539743215,0.0007288531775018262,0.044888940256045444,0.4945945945945946
datafly,193,0.033333333333333215,0.065,0.3227027027027027,0.9662453282182406,0.3472128560993426,0.04621722972972972,0.5054054054054054
datafly_shuffled,193,0.042090090090090126,0.0875,0.41094594594594597,0.9527287810248507,0.15627209642074508,0.04890240042674254,0.5054054054054054
mondrian,193,0.43594099463836344,0.625,0.22378378378378377,0.8082281011096761,0.00033469685902118334,0.04685757467994315,0.4945945945945946
datafly,194,0.016666666666666607,0.03,0.38756756756756755,0.9872749766121355,0.7036416362308254,0.048221799431009967,0.5054054054054054
datafly_shuffled,194,0.050000000000000044,0.085,0.40405405405405403,0.9082908853758842,0.024022972972972973,0.04808509957325744,0.5655405405405406
