algo,no,precision,dm,cm,entropy,discern,ilm,lr_acc,auroc,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse
datafly_shuffled,5,0.03333333333333344,0.065,0.35702702702702704,0.9620578071010604,0.2917910518626735,0.04846655405405406,0.5486486486486486,0.6862781625317788,0.4957945036047083,0.0013786549822305124,0.0625,0.10805270270270267,0.046477773826458034,0.11733323865227553
mondrian,5,0.4094492194623775,0.595,0.2664864864864865,0.8280272804477822,0.0007123447772096421,0.0466961237553343,0.6087837837837838,0.7633817685047193,0.4959447163970012,0.006243967599304949,0.0006825938566552901,0.0007150514387297293,0.03602839615931721,0.12514871431509828
datafly,6,0.01666666666666661,0.03,0.3593243243243243,0.9838803052874416,0.6239429145361578,0.048055743243243236,0.6148648648648649,0.6185355848747844,0.4976367379802792,0.0,0.25,0.26118243243243244,0.048055743243243236,0.11346450571758687
datafly_shuffled,6,0.04172972972972977,0.0875,0.3271621621621621,0.9496998763852141,0.16508593864134405,0.04889254978662873,0.6317567567567568,0.6666091362029164,0.4940209269021612,0.1214997451602583,0.05263157894736842,0.07886824324324324,0.046245376955903264,0.11656925170578515
mondrian,6,0.4220030729109675,0.6175,0.2404054054054054,0.8207905093238236,0.0005253104455807158,0.04685464082503565,0.5851351351351352,0.7341782092866953,0.4899976131209331,0.005057537989048496,0.0005035246727089627,0.0005144635465353651,0.035048595305832146,0.12717793974165809
datafly,7,0.033324324324324306,0.08,0.3855405405405405,0.9620772306572852,0.24895956902848795,0.04612951635846373,0.5364864864864864,0.676661443265831,0.4950122151071168,0.12298539484444468,0.06666666666666668,0.07004493243243244,0.04612951635846372,0.11404955822347924
datafly_shuffled,7,0.043632882882882806,0.0625,0.3932432432432432,0.943372912467578,0.12035682980277575,0.048357379089615925,0.577027027027027,0.5794230881622396,0.4976367379802792,0.0016982999666892145,0.04000000000000002,0.06663344594594596,0.04614027382645803,0.12212115755288512
mondrian,7,0.4385809260677683,0.65,0.2066216216216216,0.8063378721178659,0.00033546384222059896,0.04566996799431014,0.5952702702702702,0.7752531340405014,0.4950624167490741,0.004632353486865308,0.00032206119162640903,0.0003311845574366813,0.03430748577524893,0.12391762686487065
datafly,8,0.04405855855855867,0.0625,0.3391891891891892,0.97123882918614,0.4705062819576333,0.04632805832147939,0.5310810810810811,0.6613720376377078,0.4940209269021612,0.0011416283489065187,0.0625,0.09094121621621623,0.046328058321479376,0.11407711408286175
datafly_shuffled,8,0.0416610360360361,0.0875,0.3695945945945946,0.9491111669338138,0.1661637326515705,0.04833685988620198,0.5601351351351351,0.6435430729668916,0.4957945036047083,0.12337492254956252,0.047619047619047616,0.06290033783783783,0.04605979729729729,0.11664311647613344
mondrian,8,0.40562450304555575,0.595,0.29567567567567565,0.8276193767003394,0.0007166179693206719,0.04575293385490755,0.5662162162162162,0.7761973641915783,0.4973404975889724,0.004709187966419769,0.0006858710562414268,0.0007071039769037888,0.03606415362731152,0.12507588519811375
datafly,9,0.03333333333333344,0.0575,0.3666216216216216,0.9634141990686916,0.2950654857560263,0.04599770625889047,0.5945945945945946,0.6630751220011104,0.4940209269021612,0.001660181741602054,0.0625,0.05737533783783784,0.045997706258890464,0.11310388430961353
datafly_shuffled,9,0.04173423423423439,0.0675,0.3414864864864865,0.9535146579221198,0.21694894083272465,0.04841509601706971,0.5540540540540541,0.5948047251687559,0.4940209269021612,0.0004027798227779372,0.05555555555555556,0.09124256756756756,0.04650565433854907,0.11886882083355893
mondrian,9,0.4376910402305141,0.6525,0.21702702702702706,0.8098312599072539,0.00033590211833455083,0.0463783072546231,0.575,0.8133200374039333,0.4930474572382374,0.004320683771841732,0.00032247662044501766,0.0003309735455136014,0.034485793029871974,0.11947709365011452
datafly,10,0.01666666666666661,0.035,0.35283783783783784,0.970429428855222,0.3119584733382031,0.04781895448079659,0.6344594594594595,0.6610049384880629,0.4957945036047083,0.0,0.2,0.1712027027027027,0.047818954480796566,0.1141248393696282
datafly_shuffled,10,0.01666666666666661,0.0275,0.4531081081081081,0.9723064438747824,0.39076610664718775,0.04909683499288762,0.5216216216216216,0.5634926287951842,0.4957945036047083,0.0,0.2,0.24074324324324325,0.048001955903271686,0.11560275312862114
mondrian,10,0.4349464474596054,0.645,0.2227027027027027,0.8092318426135693,0.00033349159970781585,0.04631063300142249,0.5506756756756757,0.8044201659799539,0.4941059220691816,0.005434623589683299,0.00032020493115593983,0.0003306171680869245,0.03442153271692745,0.12786206447322318
datafly,11,0.05062162162162165,0.0825,0.36283783783783785,0.9771363727382758,0.496296018991965,0.0467468883357041,0.5452702702702703,0.6275103372198357,0.4940209269021612,0.12288047144022088,0.07692307692307693,0.14304831081081085,0.046746888335704125,0.11536446276907053
datafly_shuffled,11,0.05969481981981972,0.135,0.3339189189189189,0.9043259851151946,0.021467129291453616,0.04692654694167851,0.6331081081081081,0.6972655679261273,0.4950122151071168,0.19578003325329105,0.010101010101010102,0.012601554054054054,0.043937820056899,0.12415333323172476
mondrian,11,0.43392047817047785,0.645,0.22445945945945947,0.8084884696701413,0.0003341490138787436,0.04647880512091039,0.5344594594594595,0.7070055667572542,0.5023125536620235,0.0051977810727045,0.0003208213025344884,0.00033120520845886914,0.03483874466571834,0.11793793532576058
