algo,no,auroc,lr_acc
mondrian,23,0.6356970135297039,0.6
datafly,24,0.6364796104731013,0.5689189189189189
datafly_shuffled,24,0.6491984088717454,0.6574324324324324
mondrian,24,0.6639033780427224,0.6263513513513513
datafly,25,0.4039433023582011,0.3945945945945946
datafly_shuffled,25,0.6039054966248795,0.575
mondrian,25,0.7241825195055667,0.697972972972973
datafly,26,0.6201080842172935,0.6236486486486487
datafly_shuffled,26,0.5185613366061775,0.5898648648648649
mondrian,26,0.776818327927296,0.7331081081081081
datafly,27,0.5187457993629643,0.44256756756756754
datafly_shuffled,27,0.6071299421407907,0.6310810810810811
mondrian,27,0.6921261798310978,0.6527027027027027
datafly,28,0.4629302913415739,0.4466216216216216
datafly_shuffled,28,0.5754324829782882,0.5783783783783784
mondrian,28,0.7191928932526812,0.6810810810810811
datafly,29,0.5467366529324098,0.48783783783783785
datafly_shuffled,29,0.6351536702609509,0.6256756756756757
mondrian,29,0.7374126998042138,0.6716216216216216
datafly,30,0.5415461266473802,0.5486486486486486
datafly_shuffled,30,0.6628395210543233,0.6128378378378379
mondrian,30,0.7206704216709038,0.6702702702702703
datafly,31,0.559226242658017,0.4756756756756757
datafly_shuffled,31,0.5844282385085182,0.5722972972972973
mondrian,31,0.7310752169720347,0.672972972972973
datafly,32,0.4655328599398031,0.48783783783783785
datafly_shuffled,32,0.6318433856403962,0.6283783783783784
mondrian,32,0.6333263931504046,0.6162162162162163
datafly,33,0.6548610502323134,0.547972972972973
datafly_shuffled,33,0.4199285526431139,0.422972972972973
mondrian,33,0.6636056807223634,0.6310810810810811
datafly,34,0.5072351407030771,0.43513513513513513
datafly_shuffled,34,0.5774643128488355,0.6081081081081081
mondrian,34,0.6548683556880278,0.6182432432432432
datafly,35,0.42826407761316143,0.40202702702702703
datafly_shuffled,35,0.5858674132842406,0.552027027027027
mondrian,35,0.6893519330235821,0.6466216216216216
datafly,36,0.6013129730282575,0.6222972972972973
datafly_shuffled,36,0.6460150565442271,0.6216216216216216
mondrian,36,0.7343864147745536,0.6898648648648649
datafly,37,0.7194896773910757,0.6878378378378378
datafly_shuffled,37,0.5316654977937523,0.5304054054054054
mondrian,37,0.6671908331141697,0.6263513513513513
datafly,38,0.5777629233511588,0.45878378378378376
datafly_shuffled,38,0.6188506326524649,0.5540540540540541
mondrian,38,0.6248557172496421,0.5831081081081081
datafly,39,0.5811745711697496,0.5162162162162162
datafly_shuffled,39,0.5178874083165308,0.5506756756756757
mondrian,39,0.6510439496215773,0.6101351351351352
datafly,40,0.5872654948715701,0.5108108108108108
datafly_shuffled,40,0.5765456517927589,0.5817567567567568
mondrian,40,0.6919198007071681,0.6560810810810811
datafly,41,0.7291849303059526,0.7094594594594594
datafly_shuffled,41,0.6242210557844599,0.602027027027027
mondrian,41,0.5690402092282516,0.5621621621621622
datafly,42,0.689214042546974,0.6222972972972973
datafly_shuffled,42,0.5549516378831711,0.547972972972973
mondrian,42,0.6613537739984221,0.6229729729729729
datafly,43,0.6477391440928084,0.6317567567567568
datafly_shuffled,43,0.6192314295315742,0.6040540540540541
mondrian,43,0.7432497589199615,0.7027027027027027
datafly,44,0.6603428815639519,0.6445945945945946
datafly_shuffled,44,0.7249961646357499,0.6675675675675675
mondrian,44,0.7413302504310219,0.6783783783783783
datafly,45,0.6826226951287221,0.6351351351351351
