algo,no,lr_acc,auroc
datafly,43,0.6054054054054054,0.693724248268607
datafly_shuffled,43,0.5540540540540541,0.6540419260103445
mondrian,43,0.5513513513513514,0.7983968177434908
datafly,44,0.5864864864864865,0.7011721603693639
datafly_shuffled,44,0.6,0.7131394100113966
mondrian,44,0.5493243243243243,0.7410636012974491
datafly,45,0.6006756756756757,0.6980417725957746
datafly_shuffled,45,0.5277027027027027,0.5767657286461529
mondrian,45,0.5621621621621622,0.6633554688641479
datafly,46,0.5378378378378378,0.5525992811431577
datafly_shuffled,46,0.5506756756756757,0.6319228324712897
mondrian,46,0.5283783783783784,0.8154605359282312
datafly,47,0.5432432432432432,0.6522109961719411
datafly_shuffled,47,0.5736486486486486,0.5977342129102012
mondrian,47,0.5418918918918919,0.7659405043686625
datafly,48,0.5932432432432433,0.5753283802343591
datafly_shuffled,48,0.547972972972973,0.593367376756962
mondrian,48,0.5695945945945946,0.7505040764442885
datafly,49,0.5756756756756757,0.6187538353642501
datafly_shuffled,49,0.522972972972973,0.5566446772449666
mondrian,49,0.5885135135135136,0.7435109289617488
datafly,50,0.575,0.6789115236258438
datafly_shuffled,50,0.5567567567567567,0.6156608880511967
mondrian,50,0.5527027027027027,0.775185558575144
datafly,51,0.5817567567567568,0.6289686888168085
datafly_shuffled,51,0.581081081081081,0.6433942243067122
mondrian,51,0.5466216216216216,0.8001373425674295
datafly,52,0.5567567567567567,0.6552098857426726
datafly_shuffled,52,0.6155405405405405,0.681043803512463
mondrian,52,0.5756756756756757,0.724399856813068
datafly,53,0.5283783783783784,0.6182753280149615
datafly_shuffled,53,0.6141891891891892,0.6769207869436895
mondrian,53,0.602027027027027,0.7670838081879547
datafly,54,0.5925675675675676,0.5948558633587564
datafly_shuffled,54,0.6047297297297297,0.6623546214312849
mondrian,54,0.5986486486486486,0.745435916542474
datafly,55,0.5378378378378378,0.4926799333742439
datafly_shuffled,55,0.5243243243243243,0.5618680780807106
mondrian,55,0.5871621621621622,0.7442725227199674
datafly,56,0.6162162162162163,0.6102055389965226
datafly_shuffled,56,0.5858108108108108,0.6300590280821717
mondrian,56,0.5628378378378378,0.7735016510329915
datafly,57,0.5506756756756757,0.5021094503375121
