algo,no,precision,dm,cm,entropy,discern,ilm,acc
mondrian,8,0.40562450304555575,0.595,0.29567567567567565,0.8276193767003394,0.000716617969320672,0.04575293385490755,0.4945945945945946
datafly,9,0.03333333333333344,0.0575,0.3666216216216216,0.9634141990686915,0.2950654857560263,0.04599770625889047,0.5054054054054054
datafly_shuffled,9,0.04173423423423439,0.0675,0.3414864864864865,0.9535146579221198,0.21694894083272462,0.04841509601706971,0.5054054054054054
mondrian,9,0.4376910402305141,0.6525,0.21702702702702703,0.8098312599072539,0.0003359021183345508,0.0463783072546231,0.4945945945945946
datafly,10,0.016666666666666607,0.035,0.35283783783783784,0.9704294288552219,0.3119584733382031,0.04781895448079659,0.5020270270270271
datafly_shuffled,10,0.016666666666666607,0.0275,0.4531081081081081,0.9723064438747824,0.39076610664718775,0.04909683499288762,0.5216216216216216
mondrian,10,0.4349464474596054,0.645,0.2227027027027027,0.8092318426135693,0.0003334915997078159,0.04631063300142249,0.4945945945945946
datafly,11,0.05062162162162165,0.0825,0.36283783783783785,0.977136372738276,0.49629601899196496,0.0467468883357041,0.5054054054054054
datafly_shuffled,11,0.05969481981981972,0.135,0.3339189189189189,0.9043259851151946,0.021467129291453616,0.04692654694167851,0.6013513513513513
mondrian,11,0.43392047817047785,0.645,0.22445945945945947,0.8084884696701413,0.0003341490138787436,0.04647880512091039,0.4945945945945946
datafly,12,0.016666666666666607,0.03,0.34824324324324324,0.9802401469572241,0.5440556245434623,0.04794180298719772,0.5054054054054054
datafly_shuffled,12,0.048801801801801714,0.0525,0.34662162162162163,0.9332660294318038,0.07029390065741417,0.04806411806543386,0.6168918918918919
mondrian,12,0.43007286537549694,0.6425,0.21756756756756757,0.8087871597730705,0.0003366691015339664,0.04630458748221912,0.4945945945945946
datafly,13,0.0333153153153154,0.0825,0.3627027027027027,0.9561950098310933,0.1874565010956903,0.04595890825035561,0.6135135135135135
datafly_shuffled,13,0.03331981981981991,0.09,0.3927027027027027,0.9497037450195273,0.14121676406135866,0.048308748221906096,0.5054054054054054
mondrian,13,0.427022850786009,0.63,0.24472972972972973,0.8220843088946713,0.0005211468224981738,0.0475387980085348,0.4945945945945946
datafly,14,0.033328828828828816,0.09,0.36445945945945946,0.9682463806133503,0.3673037618699781,0.0461958214793741,0.5054054054054054
datafly_shuffled,14,0.033333333333333215,0.0575,0.38351351351351354,0.9374127458466087,0.0835944850255661,0.047998915362731154,0.6027027027027027
mondrian,14,0.4310021884232408,0.6625,0.2208108108108108,0.8090141156707691,0.00033469685902118334,0.047107165718349955,0.4945945945945946
datafly,15,0.04202927927927913,0.0875,0.3452702702702703,0.9768523061747334,0.4736991234477721,0.04668161450924608,0.5054054054054054
datafly_shuffled,15,0.04999324324324328,0.13,0.31891891891891894,0.9133601141555443,0.03898130021913806,0.04706904338549075,0.6621621621621622
