algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
datafly,114,0.03331981981982013,0.085,0.3222972972972973,0.966902891484523,0.37228856829802776,0.046120199146514926,0.6848024604774845,0.4940209269021612,0.12426419251832148,0.5824324324324325
datafly_shuffled,113,0.05102364864864861,0.0675,0.3693243243243243,0.9495444115391898,0.16740555149744338,0.0484729196301565,0.6404729552029456,0.4940209269021612,0.001282993876807277,0.5297297297297298
datafly_shuffled,193,0.042090090090090126,0.0875,0.4109459459459461,0.9527287810248508,0.15627209642074508,0.048902400426742536,0.6091435083720522,0.4950122151071168,0.11668920809013394,0.5763513513513514
datafly_shuffled,179,0.04619256756756762,0.0925,0.3686486486486487,0.9483185073970636,0.15660712198685173,0.04777332859174964,0.666918704888811,0.4957945036047083,0.12324666319522636,0.6148648648648649
datafly_shuffled,118,0.06546846846846832,0.0925,0.3264864864864865,0.902910118470404,0.020560883856829804,0.04751973684210523,0.6847686727448058,0.4957945036047083,0.001995670983222853,0.6222972972972973
datafly,63,0.04229504504504522,0.085,0.3527027027027027,0.958733265503676,0.2211046749452155,0.045984246088193466,0.6951570307705794,0.4940209269021612,0.12264113080921675,0.5817567567567568
mondrian,97,0.4080779443411025,0.5925,0.3005405405405405,0.8282078857388668,0.0007139517896274652,0.0465311522048364,0.7231414920662751,0.4931950362524845,0.004417589153231929,0.5858108108108108
datafly,107,0.04353941441441445,0.0925,0.29905405405405405,0.9577517855369228,0.27871508400292183,0.045875693456614484,0.7001658338447153,0.4957945036047083,0.09923551176018107,0.5459459459459459
datafly_shuffled,198,0.01666666666666661,0.0275,0.4085135135135135,0.9742072446626568,0.38717154857560265,0.04905595661450925,0.5574373191899712,0.4957945036047083,2.220446049250313e-16,0.5358108108108108
mondrian,72,0.4202499361709887,0.6075,0.2516216216216216,0.8200311663951396,0.0005315193571950328,0.04626843883357035,0.7471326086321264,0.4943096762090498,0.004598332978176484,0.6121621621621621
datafly_shuffled,174,0.04198423423423436,0.06,0.34243243243243243,0.9463884386057858,0.13172238860482105,0.04887914295874824,0.6273386590105492,0.4957945036047083,0.0020774165958789416,0.5364864864864864
