algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
mondrian,74,0.43789635992267584,0.6525,0.22283783783783784,0.8085087207536777,0.00033524470416362314,0.0461930476529161,0.7708424651529763,0.49572517409291295,0.006102649474324854,0.5601351351351351
mondrian,90,0.4320175073859285,0.6375,0.20405405405405405,0.8080022489890016,0.00033590211833455083,0.046613424608819336,0.7718780135004821,0.4989598459379453,0.00446692821194672,0.6027027027027027
datafly_shuffled,22,0.033333333333333215,0.065,0.3840540540540541,0.9574981446750344,0.2308943024105186,0.04781792318634424,0.5742380409689957,0.4940209269021612,0.001808690578196513,0.5189189189189191
mondrian,33,0.43519897326476265,0.65,0.19986486486486488,0.8109658910185156,0.0003330533235938641,0.04644864864864867,0.7237076648841354,0.504070215393406,0.004856558238662716,0.5608108108108109
mondrian,28,0.4214923861108072,0.6175,0.2482432432432433,0.8189958918497567,0.000531154127100073,0.046508392603129424,0.7573986002746851,0.4982225855206309,0.005209808892230117,0.5817567567567568
datafly_shuffled,64,0.033333333333333215,0.0675,0.382027027027027,0.9623236884042335,0.26046205259313365,0.04850284495021336,0.6165740700154876,0.4966454497753235,0.003029900471331876,0.5263513513513514
mondrian,145,0.4229037914432652,0.6025,0.2255405405405405,0.8181308788225746,0.0005239956172388607,0.045398150782361334,0.7491543935010665,0.4934031177033564,0.005699033113242928,0.5844594594594594
mondrian,39,0.4115419174234965,0.6025,0.2583783783783784,0.8211186245744106,0.0005281227173119065,0.04641296230440962,0.6789818386370943,0.5046308194684184,0.005474946688186922,0.5993243243243244
mondrian,143,0.4192560455192035,0.6175,0.2493243243243244,0.8211971970576358,0.0005225346968590212,0.04685949502133701,0.7725976008883435,0.4926969809398376,0.0042586905181305305,0.5939189189189189
mondrian,102,0.4302634405660724,0.6275,0.21243243243243248,0.8092720919858124,0.0003331628926223521,0.04596121977240399,0.8148432249203704,0.499903848296661,0.005724643249740586,0.6033783783783784
datafly_shuffled,25,0.03333333333333344,0.0525,0.35121621621621624,0.9459861470245842,0.14179043097151206,0.04769379445234709,0.6510129014347915,0.4940209269021612,0.001011478654023428,0.5858108108108108
