algo,no,avg_eq_size,ambiguity,granularity,dse
datafly_shuffled,12,0.04,0.040911486486486494,0.04580167140825035,0.11952147364922233
mondrian,12,0.0003232062055591467,0.0003311987158898902,0.03474521692745377,0.12632894983351528
datafly,13,0.06666666666666667,0.05424527027027028,0.04595890825035562,0.11280292435093303
datafly_shuffled,13,0.05,0.07989493243243243,0.046273986486486486,0.11963666695917469
mondrian,13,0.0005,0.0005181934984349378,0.03506120199146515,0.12081088709168003
datafly,14,0.04761904761904762,0.0769391891891892,0.04619582147937411,0.11131651533701341
datafly_shuffled,14,0.04,0.05935236486486486,0.046037375533428154,0.11594291131061407
mondrian,14,0.00032133676092544985,0.0003315838433824295,0.03478890469416785,0.12490847991574824
datafly,15,0.07142857142857142,0.12260270270270268,0.04668161450924608,0.11279952962355878
datafly_shuffled,15,0.0125,0.010301165540540542,0.0438199146514936,0.11910495572196525
mondrian,15,0.0005058168942842692,0.0005285512852710513,0.03547772048364154,0.12313225083114844
datafly,16,0.043478260869565216,0.02941216216216217,0.04564735064011379,0.10991928422650322
datafly_shuffled,16,0.010416666666666666,0.014283074324324324,0.04407402204836415,0.12244983566520777
mondrian,16,0.0005065856129685917,0.0005229601211367066,0.035475337837837836,0.12411082631995839
datafly,17,0.06666666666666667,0.0506331081081081,0.045918616642958744,0.1125956339674127
datafly_shuffled,17,0.04,0.053728040540540534,0.04595568990042674,0.11861247163925209
mondrian,17,0.0003222687721559781,0.0003326584056219016,0.03393851351351351,0.12123561449852617
datafly,18,0.25,0.2979459459459459,0.0481524893314367,0.11447998232462898
datafly_shuffled,18,0.01,0.009218750000000001,0.04377859174964438,0.12038604449603348
mondrian,18,0.0006830601092896175,0.0007065899837802932,0.03563669985775249,0.12332327416110961
datafly,19,0.25,0.43476351351351344,0.04851253556187766,0.11581908869108529
datafly_shuffled,19,0.041666666666666664,0.06976756756756756,0.04612546230440967,0.11864082567609768
mondrian,19,0.00031969309462915604,0.0003300424706438575,0.03442370199146515,0.12275178191629314
datafly,20,0.25,0.42928378378378385,0.04849811522048363,0.11462091522274918
datafly_shuffled,20,0.015625,0.018291621621621623,0.04419832859174964,0.11927886994105896
mondrian,20,0.0005020080321285141,0.0005230848256227745,0.03510469416785206,0.1256488202756536
datafly,21,0.0625,0.06752567567567566,0.04611088193456614,0.11319047291265083
datafly_shuffled,21,0.05,0.05144493243243242,0.04596468705547653,0.1169363213193805
mondrian,21,0.0004985044865403789,0.0005184688541698178,0.03524484352773827,0.1273534255272293
datafly,22,0.058823529411764705,0.06672736486486487,0.0461005867709815,0.11199673028822761
datafly_shuffled,22,0.0625,0.10238040540540543,0.04643541963015647,0.12244857186560848
mondrian,22,0.0005032712632108706,0.0005130272340705189,0.03518461948790896,0.12893070113705135
datafly,23,0.06666666666666667,0.06265202702702702,0.04605295163584636,0.1132880476995561
datafly_shuffled,23,0.2,0.23114864864864865,0.047976706970128014,0.1163758804191561
mondrian,23,0.0005030181086519115,0.0005223670646619401,0.0352056721194879,0.12279617482955933
datafly,24,0.25,0.23721621621621627,0.04799267425320056,0.11199111053536456
datafly_shuffled,24,0.04000000000000001,0.045903040540540535,0.04586971906116642,0.11363508940521462
mondrian,24,0.000321853878339234,0.0003295699461982345,0.03495600995732575,0.13200568341368007
datafly,25,0.25,0.44033783783783786,0.04852720483641535,0.11527819296777679
datafly_shuffled,25,0.05,0.05158648648648649,0.045958801564722616,0.11861976431677682
mondrian,25,0.0005094243504839531,0.0005264896993106925,0.035581472261735414,0.1256368923895245
datafly,26,0.25,0.2338378378378379,0.04798378378378377,0.11380864340019584
datafly_shuffled,26,0.015625,0.01840025337837838,0.04419365220483641,0.12089094720868274
mondrian,26,0.0004975124378109452,0.0005151582907544341,0.03541408250355618,0.12411481883813473
datafly,27,0.05263157894736842,0.08853412162162162,0.04630919274537695,0.11155331526403632
datafly_shuffled,27,0.04,0.06619425675675676,0.046090931721194876,0.11744682492319845
mondrian,27,0.0006896551724137932,0.0007065758639092484,0.03590624110953058,0.1179997555954203
datafly,28,0.2,0.37454054054054053,0.048354054054054046,0.11557318325337254
datafly_shuffled,28,0.04347826086956522,0.06730743243243242,0.046103236130867704,0.1191478639938412
mondrian,28,0.0005089058524173028,0.0005259653757820218,0.035162642247510666,0.1263171521680552
datafly,29,0.08333333333333333,0.15060236486486483,0.04679151849217637,0.11614995285385842
datafly_shuffled,29,0.010526315789473684,0.013159847972972974,0.04395924608819345,0.12300545818284916
mondrian,29,0.0006872852233676975,0.0007026081623319324,0.036130885490753904,0.12172618133112448
datafly,30,0.2,0.21064864864864866,0.04792275960170696,0.11389177795611821
datafly_shuffled,30,0.04,0.04768581081081081,0.04592939189189189,0.1169341070009605
