algo,no,entropy,cm,dm,discern,precision,ilm,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse,auroc,lr_acc
datafly_shuffled,11,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,11,0.6569185799348399,0.13539387308533918,0.9254658385093169,0.0010611733836408124,0.5334350193652133,0.06055826244546929,0.4228156752603353,0.0337927662496673,0.0010141987829614602,0.0010778659016010717,0.038280337493061874,0.2763125568962362,0.5146350725298094,0.7295081967213115
datafly,12,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
datafly_shuffled,12,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
mondrian,12,0.6686595869113349,0.14688183807439825,0.8695652173913043,0.0014585896987775856,0.4414373272486466,0.06957639275363911,0.4431247413113503,0.027122487515001816,0.0013947001394700141,0.001396992520421334,0.043354096039335335,0.2885208346875036,0.5728260044049518,0.8032786885245902
datafly,13,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,13,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,13,0.647676679323006,0.1301969365426696,0.9192546583850932,0.0010661111616526774,0.5050305287364414,0.06266509673857214,0.4248540147653047,0.036029310894931964,0.0010214504596527069,0.001017159541786734,0.03992024673410388,0.2826877142518438,0.5056732740943267,0.73224043715847
datafly,14,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,14,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,14,0.6505784084282293,0.13648796498905907,0.8819875776397516,0.0010575822723594556,0.4883400381119341,0.0647668416573894,0.4314786701079047,0.04148717637709415,0.0010131712259371832,0.001028592587318274,0.04042579834337345,0.28177870423213425,0.6214323688007898,0.7814207650273224
datafly,15,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,15,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,15,0.6234083809014913,0.12062363238512035,0.9254658385093169,0.0006799170692701425,0.5046860670701798,0.06488823194593378,0.42490019033757465,0.02092854892153357,0.0006523157208088715,0.0007059393496545571,0.03870470752309639,0.28278640025476104,0.5967950178476494,0.773224043715847
datafly,16,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,16,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,16,0.6266847258277198,0.1225382932166302,0.9192546583850932,0.0006782711432661876,0.4522986300391143,0.06877182466162872,0.4476307451052594,0.02086458661205644,0.0006501950585175553,0.0006742316804088617,0.04112838851976544,0.2801003021860088,0.5240373661426293,0.7090163934426229
datafly,17,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,17,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,17,0.6154356862818291,0.12144420131291027,0.9192546583850932,0.0006764755876255093,0.5409950797855321,0.05950049161808198,0.4391823875768633,0.021446242217142787,0.0006485084306095979,0.0006415467730771457,0.03643547314707121,0.2688544161262847,0.5625882889040783,0.726775956284153
datafly,18,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,18,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,18,0.6432925947946003,0.13293216630196936,0.8757763975155279,0.0010496519016131274,0.4364206106227151,0.06746104073490422,0.4468311359444412,0.02955226092388404,0.0010050251256281406,0.00103514672369661,0.043410703805276604,0.2846528746909003,0.5045492519176729,0.6980874316939891
datafly,19,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,19,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,19,0.6892538286927152,0.14797592997811815,0.8757763975155279,0.0022068875120302227,0.42011375996519373,0.06975213879150517,0.4551410411841872,0.059051433612974616,0.00211416490486258,0.0021420851170033594,0.04401339484493351,0.2751322900739132,0.5883800410116199,0.7527322404371585
datafly,20,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,20,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,20,0.6262725694699973,0.1263676148796499,0.906832298136646,0.0006805155878170353,0.4336577086559091,0.0692171633536318,0.4321482048615289,0.01910086225125136,0.0006531678641410843,0.0006682182648261376,0.04202159469637105,0.2768533506505753,0.5428419533682691,0.7609289617486339
