algo,no,precision,dm,cm,entropy,discern,ilm,auroc,lr_acc,hellinger
mondrian,14,0.6485802453040881,0.8902439024390244,0.13593263046217094,0.4052347793845366,0.0004157620902472228,0.0454895067846011,,0.6907011437095972,0.4183401808410357
datafly,15,0.12506216431271133,0.04878048780487805,0.22544924076652745,0.9488267293480565,0.5326417264109089,0.0617540282474637,0.6543510609974599,0.7659539201060832,0.44306819186849583
datafly_shuffled,15,0.17211640474769574,0.06707317073170732,0.24892248524633645,0.8965077594746553,0.31725930599170465,0.0636835478659143,,0.5033979777888281,0.44306819186849583
mondrian,15,0.6198212347971572,0.902439024390244,0.16331808235528147,0.4743240099806224,0.0010236656717650598,0.04516075621220386,,0.6568871208354052,0.4295959395592573
datafly,16,0.20301759388192653,0.07317073170731707,0.22544924076652745,0.9192239007404572,0.41155673735323495,0.05625733842130544,0.6643859598627071,0.7664511851483508,0.43095740022544143
datafly_shuffled,16,0.19743846193517955,0.0975609756097561,0.23300842119222864,0.8221538391059617,0.1485519208145255,0.06123718505436496,,0.7235206364992541,0.4550443603044792
mondrian,16,0.6000013039684668,0.8780487804878049,0.13742457396724356,0.4319459947316402,0.0007064651316109197,0.0448413497865941,,0.775070445880988,0.36329996807254405
datafly,17,0.12520721437570448,0.04878048780487805,0.22544924076652745,0.9484413733564848,0.5325889182786228,0.061748721537841986,0.6539239996258266,0.7659539201060832,0.44306819186849583
datafly_shuffled,17,0.15280955064871915,0.07926829268292683,0.21122604601816847,0.8777693800141361,0.2364915683015449,0.05884959531537826,,0.7775567710923256,0.4729193676950866
mondrian,17,0.6504324222858283,0.9085365853658536,0.14236456468403952,0.42231699314662224,0.0005301808094082112,0.044387579976496484,,0.832587435769932,0.4155283271511063
datafly,18,0.1827962336715072,0.054878048780487805,0.2477289304422784,0.8415141911701091,0.1881303331877235,0.06003750479120073,0.7839886164938513,0.4992541024365987,0.4562073150030765
datafly_shuffled,18,0.15433326702473293,0.12195121951219512,0.24892248524633645,0.8837981423178435,0.2791099492574547,0.06543998097053834,,0.5032322227747389,0.458203848583612
mondrian,18,0.6343000660431273,0.902439024390244,0.1444864398912539,0.4120142125057011,0.0005922992302016032,0.05039181737018103,,0.7876678269517653,0.4596142719364522
datafly,19,0.18511289039188386,0.06707317073170732,0.2487235594456601,0.8541817976673876,0.20718251627098772,0.0599248104948724,0.7661685363343959,0.7198740261892922,0.4573278030322876
datafly_shuffled,19,0.2334306780422756,0.0975609756097561,0.2474968503414893,0.8074985071159836,0.17360963350127334,0.05525966353506783,,0.35670479031990715,0.4410435620273167
mondrian,19,0.621468434395634,0.8536585365853658,0.16129567004840528,0.4255129502743142,0.0006425220261750264,0.044930077105262436,,0.7742416708105421,0.3704161768570001
datafly,20,0.15664623993398594,0.11585365853658534,0.24219216232345336,0.9130491837022092,0.3961417992949691,0.05877940270911064,0.6484941679319004,0.523951599535886,0.4550299449905655
datafly_shuffled,20,0.12503453572928416,0.054878048780487805,0.2418606193223261,0.9543898351420538,0.5528681094505293,0.06705196916326632,,0.7482181335985414,0.4729193676950866
mondrian,20,0.6210850819281084,0.8170731707317073,0.16252237915257609,0.4495840544700409,0.0006496251057893898,0.04569256907693145,,0.6998176694845019,0.4318416110486696
datafly,21,0.1927871899151986,0.06097560975609756,0.24892248524633645,0.8776341599774187,0.2664752787921376,0.05833615347044657,0.6612728371698101,0.5247803746063319,0.4020744412040576
datafly_shuffled,21,0.15317286652078774,0.06707317073170732,0.24892248524633645,0.8786832577716915,0.25194032897815405,0.059512238249496086,,0.5032322227747389,0.45032360807302063
mondrian,21,0.6027268562664594,0.902439024390244,0.1399111464756979,0.4559797672548466,0.0007074676089566796,0.04358281541620762,,0.7928062323885298,0.42874958939835495
datafly,22,0.12502901001259858,0.04878048780487805,0.24892248524633645,0.913842375563624,0.3277002746273498,0.06498667358863762,0.7387022659077662,0.6678269517652909,0.4633465336888079
datafly_shuffled,22,0.21488130760559648,0.06097560975609756,0.2476294675419401,0.8825858119532972,0.31919963826748154,0.0598460387080497,,0.4375932371954251,0.44306819186849583
mondrian,22,0.6223464597311124,0.8780487804878049,0.16229029905178702,0.45531670286418297,0.0007238721834173352,0.049961745454383484,,0.4700812199569037,0.4337681001056885
datafly,23,0.17489860309882188,0.1524390243902439,0.247894701942842,0.8619537100024942,0.2387915195393761,0.06107172105035887,0.7446380232131421,0.5831261395657219,0.44306819186849583
datafly_shuffled,23,0.11111111111111116,0.042682926829268296,0.20668390690272528,0.941634897590292,0.5011365345081875,0.06623147604561384,,0.7815348914304657,0.4729193676950866
mondrian,23,0.5801183732581652,0.8719512195121951,0.16418009415821233,0.48004408210636296,0.0010699972727779682,0.05190065569809128,,0.8173379744737278,0.442421780264889
datafly,24,0.1878356872886413,0.07317073170731707,0.24892248524633645,0.8320249372367265,0.22498006817822047,0.06075503931884356,0.7732410612133293,0.6860600033151003,0.4633465336888079
datafly_shuffled,24,0.18899746922175809,0.10365853658536583,0.24892248524633645,0.8615979888171114,0.18280701579901212,0.059891571442913724,,0.5015746726338471,0.44306819186849583
mondrian,24,0.593655467692559,0.8597560975609756,0.15078575691267154,0.4445719813080928,0.0009548157035315004,0.05317195307172107,,0.7042930548649097,0.4232043198285058
datafly,25,0.18914113785557984,0.06707317073170732,0.24892248524633645,0.8684388318606635,0.2356815248362817,0.0604844779922834,0.7711697955718018,0.718713741090668,0.44775864351696537
datafly_shuffled,25,0.2088624207059656,0.06097560975609756,0.2476294675419401,0.8505803982965013,0.2187498231649748,0.059091182007403924,,0.494778717056191,0.44306819186849583
mondrian,25,0.5624422515533376,0.8292682926829268,0.15546051322856574,0.448839523980713,0.0005069941239570537,0.050375131899953934,,0.6509199403281949,0.4156007150374445
datafly,26,0.1770467254602922,0.06707317073170732,0.24892248524633645,0.8661007291443383,0.2388849411946569,0.06455595071168536,0.7464865117684731,0.3986408088844687,0.4729193676950866
datafly_shuffled,26,0.1583007316048891,0.06097560975609756,0.24892248524633645,0.8741180020674622,0.2503299106778175,0.05913702860919597,,0.5025692027183822,0.4504985223384097
mondrian,26,0.5468117271416459,0.8353658536585366,0.16762814136993567,0.4620010279199493,0.0008762179621595667,0.04799497644816447,,0.5768274490303331,0.3827022113753708
datafly,27,0.15401415688614814,0.06707317073170732,0.24892248524633645,0.8852287959518302,0.2874358006143085,0.061191702341232675,0.6529049527606081,0.5007458975634013,0.4573314775232441
datafly_shuffled,27,0.1667357381252348,0.08536585365853659,0.2082421590080233,0.9079788855013924,0.3757416557138322,0.06195831972120198,,0.7800430963036632,0.4633465336888079
mondrian,27,0.5759688793314126,0.8353658536585366,0.16752867846959751,0.44657744542146655,0.0009446040647791892,0.04606160157900601,,0.7906514172053705,0.4684659312974835
datafly,28,0.14343931657936038,0.042682926829268296,0.24892248524633645,0.9043067427660118,0.32860998544556785,0.0630150035337632,0.741931814093385,0.722526106414719,0.4729193676950866
datafly_shuffled,28,0.20900885219813006,0.0975609756097561,0.24892248524633645,0.8109259297529472,0.18871025094333888,0.05939088138146155,,0.5841206696502569,0.4191359714664824
mondrian,28,0.6006639955363398,0.8475609756097561,0.1547311186260858,0.4399312285504798,0.0010730464747046539,0.050051504336563066,,0.8282778054036135,0.4285020964609571
datafly,29,0.11111111111111116,0.054878048780487805,0.2300245341820834,0.9504549876727444,0.5379821584622008,0.06249529977147793,0.6451925194102451,0.7608155146693187,0.4729193676950866
datafly_shuffled,29,0.26040078023119595,0.1402439024390244,0.2256813208673165,0.7729966556967134,0.06987572239979481,0.057104885650010276,,0.4871539864080888,0.44306819186849583
mondrian,29,0.6123958278896449,0.8963414634146342,0.1610304356475035,0.4598868466276652,0.0014424417892952574,0.04776024167961357,,0.7090999502734958,0.46390861817227297
datafly,30,0.15893572854732607,0.11585365853658534,0.23625754260327564,0.8788298940421242,0.2442726831417399,0.059788263802296876,0.7408688018535975,0.5824631195093651,0.4729193676950866
datafly_shuffled,30,0.15472835576774313,0.06707317073170732,0.24892248524633645,0.8981506061654967,0.31472101356650395,0.06154414535492084,,0.5015746726338471,0.44306819186849583
mondrian,30,0.5722556272209687,0.8292682926829268,0.15466481002586036,0.4522122750096778,0.0006413480724411762,0.04827976525385413,,0.7861760318249627,0.444279831336271
datafly,31,0.16849844174789474,0.07317073170731707,0.24892248524633645,0.9005711099456023,0.3062731501642781,0.06431662990043469,0.7230558453800379,0.5038952428310957,0.429548218592415
datafly_shuffled,31,0.12520721437570448,0.06097560975609756,0.220807638750746,0.9459378268787688,0.5176312571838438,0.06555090317165356,,0.5022376926902039,0.4729193676950866
mondrian,31,0.6629047602852379,0.8902439024390244,0.1661693521649758,0.4445861877549444,0.0008749604686469032,0.04583589670495549,,0.6471075750041438,0.4180917524328445
