algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
datafly_shuffled,87,0.15666926375350887,0.07926829268292683,0.24162853922153704,0.9278731171805036,0.4519646843411425,0.06128456133626385,,0.44306819186849583,7.584984817208401e-05,0.5309133101276313
datafly,145,0.12928657471874105,0.036585365853658534,0.24892248524633645,0.9333068038551644,0.4674981433613921,0.06507830277477232,0.5802238564325445,0.4729193676950866,0.00012614646346474547,0.5007458975634013
datafly_shuffled,188,0.2329932254713436,0.07317073170731707,0.24892248524633645,0.7952746377677506,0.20374285821178945,0.056259127540549334,,0.4633465336888079,0.2621183767382459,0.6408088844687552
datafly_shuffled,5,0.17864227615321704,0.07926829268292683,0.23453351899741395,0.8586157831346801,0.19301809175702409,0.06063026594061445,,0.44306819186849583,0.004833153461545083,0.7235206364992541
mondrian,35,0.5233372684116953,0.774390243902439,0.1621245275512234,0.457795316934598,0.001025549713618823,0.04928759005349486,,0.4337863030688789,0.020658694696975143,0.6421349245814686
datafly_shuffled,81,0.18806316262552605,0.06097560975609756,0.24892248524633645,0.8900970781555074,0.37563553601217176,0.062214650642627364,,0.44306819186849583,7.572925363638801e-05,0.4979280623238853
datafly,133,0.23007979134893802,0.06097560975609756,0.24892248524633645,0.8416850935429386,0.19841237618783727,0.05654345598807092,0.778637073388356,0.44306819186849583,0.2454528293483492,0.4520139234211835
mondrian,81,0.5159438067275222,0.8109756097560976,0.17071149128041907,0.4759550502319438,0.001154361457303252,0.048687257514096687,,0.3919299019317815,0.009554647439724577,0.6749544173711255
datafly_shuffled,68,0.15859912030590384,0.13414634146341464,0.24892248524633645,0.8491737874911914,0.17948668991701822,0.06116447009852405,,0.4603948952274396,0.01483701115977632,0.5020719376761147
datafly,166,0.12889148597573108,0.036585365853658534,0.24892248524633645,0.9260096744362842,0.4386218427739945,0.0636799595194082,0.6720937160455628,0.4550387132582385,0.00012439559887125144,0.5007458975634013
mondrian,192,0.6430021147070624,0.9207317073170732,0.1419335587825741,0.452267033435823,0.0008115273955448174,0.04371905786902626,,0.4091626538287816,0.012058574669721888,0.8140228741919443
mondrian,158,0.6692532195521157,0.902439024390244,0.143027650686294,0.3910964896473612,0.0003995377858355852,0.04107348092591876,,0.3689300850612292,0.008139163344501684,0.6086524117354549
datafly,25,0.18914113785557984,0.06707317073170732,0.24892248524633645,0.8684388318606635,0.2356815248362817,0.0604844779922834,0.7711697955718018,0.44775864351696537,0.000770002597126649,0.718713741090668
datafly_shuffled,173,0.16088308320255806,0.1097560975609756,0.2461043697367549,0.851132793869277,0.16094129870350968,0.06443874124132436,,0.4729193676950866,0.1367887407586782,0.5831261395657219
datafly,55,0.12630268770859576,0.04878048780487805,0.24892248524633645,0.9206451106614416,0.3920646469852312,0.06491355892273863,0.6558889136738791,0.44306819186849583,0.01051296854336743,0.5007458975634013
mondrian,66,0.6839295457196456,0.902439024390244,0.13941383197400706,0.4016152126231758,0.0006315255531849165,0.04731911178274071,,0.3981944034530808,0.015205398637655528,0.739433117851815
mondrian,197,0.5017868694982017,0.8475609756097561,0.16746236986937205,0.4645373461113365,0.0009541254011486746,0.0510197647939815,,0.44947996154500497,0.01282257184101323,0.6658378915962208
datafly,84,0.21237263223040026,0.08536585365853659,0.20675021550295072,0.8745299156514553,0.2483855135322768,0.059158066764674014,0.7900282069178906,0.44306819186849583,0.2418349528740821,0.7851815017404277
mondrian,184,0.5698626395012294,0.8536585365853658,0.14627677209734102,0.4353600111164073,0.0015529912976480506,0.04866204490392187,,0.4113066284844381,0.01324654561629487,0.2967014752196254
datafly_shuffled,93,0.17149890590809624,0.06707317073170732,0.2479278562429547,0.8647773036794257,0.2210357023469063,0.06113499298907848,,0.4524661116093855,0.0017710585340274551,0.7235206364992541
mondrian,26,0.5468117271416459,0.8353658536585366,0.16762814136993567,0.4620010279199493,0.0008762179621595667,0.04799497644816447,,0.3827022113753708,0.023098437853933715,0.5768274490303331
datafly,147,0.20293747098998727,0.14634146341463414,0.24882302234599826,0.8886118737757459,0.3194398151315698,0.0575227665556785,0.6910556007281989,0.421506284346394,0.3292300776230888,0.4994198574506879
