algo,no,precision,dm,cm,entropy,discern,ilm,auroc,lr_acc
datafly,135,0.21243617797228298,0.07926829268292683,0.2065844440023871,0.9110034905959943,0.39685384180602346,0.06026827590361641,0.7286361379548545,0.7853472567545168
datafly,136,0.13888428412498433,0.08536585365853659,0.24162853922153704,0.9485027946385322,0.534216339122363,0.06170429679729461,0.5822859836083267,0.5072103431128792
datafly,137,0.125319110138585,0.036585365853658534,0.24892248524633645,0.9324694107671482,0.4609184096834809,0.06551375620430165,0.5839103998618437,0.5007458975634013
datafly,138,0.17526744468757594,0.07926829268292683,0.24892248524633645,0.8735777440129809,0.24884199247103458,0.06381821362474616,0.7528683988976277,0.5208022542681916
datafly,139,0.15297992691318718,0.08536585365853659,0.24262316822491878,0.9489410786368767,0.5355845821991654,0.0624555499894068,0.5797597375029682,0.5015746726338471
datafly,140,0.1889214906173331,0.12195121951219512,0.24892248524633645,0.8825699885875586,0.2776489968119066,0.057141133003731075,0.7018178351190518,0.5032322227747389
datafly,141,0.21511062484804278,0.10365853658536585,0.23370466149459584,0.8187297270652348,0.14225449882703775,0.06146773547504723,0.7844452519554157,0.718713741090668
datafly,142,0.2065360939813894,0.07926829268292683,0.20675021550295072,0.9142982466428344,0.39323967794254505,0.06063613196058358,0.7240616522633893,0.7851815017404277
datafly,143,0.22150203714755146,0.12195121951219512,0.22279689675750944,0.7711731669516264,0.07090515451471323,0.05698917216636165,0.7737828211235276,0.6386540692855959
datafly,144,0.21254116658930666,0.09146341463414634,0.2064186725018235,0.9066135711779656,0.4179387389699407,0.060141041222924664,0.7630929748944039,0.7831924415713575
datafly,145,0.12928657471874105,0.036585365853658534,0.24892248524633645,0.9333068038551644,0.4674981433613921,0.06507830277477232,0.5802238564325445,0.5007458975634013
datafly,146,0.12520445151736181,0.04878048780487805,0.2300245341820834,0.9502058595155385,0.537970937750857,0.062482816368844014,0.5870910896361163,0.7613127797115863
datafly,147,0.20293747098998738,0.14634146341463414,0.24882302234599826,0.888611873775746,0.3194398151315698,0.0575227665556785,0.6910556007281989,0.4994198574506879
datafly,148,0.22780872179121636,0.08536585365853659,0.20648498110204894,0.8767409638545625,0.2590188500959615,0.05727644904507531,0.7962430831888208,0.777059506050058
datafly,149,0.1589472404570873,0.07317073170731707,0.23287580399177774,0.8506436495600264,0.17647202069679555,0.06190939522782934,0.7996128744432371,0.6996519144704128
datafly,150,0.23315623411356456,0.06097560975609756,0.2487235594456601,0.8445354825297674,0.1993343299804819,0.05608370288248336,0.7464465759536025,0.6144538372285762
datafly,151,0.15309688791636278,0.06097560975609756,0.24892248524633645,0.8753145444248335,0.23661515221380788,0.060556561640313054,0.7255000611629597,0.42599038620918284
datafly,152,0.12539508874300997,0.036585365853658534,0.24892248524633645,0.9291192794248953,0.4410939321229009,0.06399548131148708,0.6655948277723011,0.5007458975634013
datafly,153,0.125319110138585,0.036585365853658534,0.24892248524633645,0.943589628176063,0.5119140431427821,0.06248832523883226,0.6710795622171213,0.5032322227747389
datafly,154,0.21026733417324228,0.14634146341463414,0.23426828459651217,0.7958738256377911,0.15061154349761735,0.05973708437850241,0.7912930569247264,0.4972650422675286
datafly,155,0.15309688791636278,0.06707317073170732,0.24892248524633645,0.889917006923897,0.2799192584520305,0.060439025603206104,0.7410120670921689,0.43063152660367976
datafly,156,0.21939305527926967,0.10365853658536585,0.24892248524633645,0.8529814641460398,0.2201905545872196,0.05622507699614493,0.6482889482129622,0.4820155809713244
datafly,157,0.17221034193134854,0.06707317073170732,0.24888933094622373,0.8776601625968561,0.24412420657380587,0.061559718441823355,0.7595539421326445,0.49278965688712084
datafly,158,0.12520721437570448,0.04878048780487805,0.22544924076652742,0.9484413733564849,0.5325889182786228,0.06174872153784199,0.6034939160844193,0.7659539201060832
datafly,159,0.24908134960104322,0.0975609756097561,0.23549499370068297,0.8335718535805159,0.16660440095205273,0.05401441969462467,0.7632399818669814,0.7112547654566551
datafly,160,0.18776799725924453,0.07317073170731707,0.24892248524633645,0.8643468685966506,0.22424235916933338,0.062337645009630925,0.7613708418181949,0.722526106414719
datafly,161,0.15737701596563736,0.06097560975609756,0.24839201644453285,0.8889882872052368,0.2913663076360005,0.061930514247454,0.686633374828204,0.5007458975634013
datafly,162,0.1545446256879517,0.07317073170731707,0.24892248524633645,0.8458681165442138,0.15532301554629996,0.06118020952439483,0.7194193116648558,0.599204375932372
datafly,163,0.2264673540658223,0.0975609756097561,0.2487235594456601,0.8275571072714197,0.1630150286171448,0.05486268796197008,0.6970415836169617,0.6094811868059009
datafly,164,0.15790564286187914,0.06707317073170732,0.24892248524633645,0.8883080995868476,0.2949493199556425,0.06295347939554588,0.6245673620055694,0.5206364992541025
datafly,165,0.16825116592622058,0.07317073170731707,0.24892248524633645,0.9107708125592273,0.3861644060824504,0.06240538894845881,0.6043975448468407,0.5032322227747389
datafly,166,0.12889148597573108,0.036585365853658534,0.24892248524633645,0.9260096744362842,0.43862184277399446,0.0636799595194082,0.6720937160455628,0.5007458975634013
datafly,167,0.1931459010233627,0.07926829268292683,0.248856176646111,0.8366666570733045,0.25148682889203555,0.060270272237235974,0.7707523044044526,0.7208685562738273
datafly,168,0.21205628495015805,0.10365853658536585,0.24888933094622373,0.8214371066932445,0.19451890366914226,0.061677369036471356,0.7683681722348945,0.4269849162937179
datafly,169,0.1620609818093407,0.036585365853658534,0.24892248524633645,0.9256031364890985,0.43277654466469,0.06148111175263334,0.6743901333352522,0.5007458975634013
datafly,170,0.11111111111111116,0.054878048780487805,0.22544924076652742,0.9490630140468015,0.5326521007323884,0.06176130602065917,0.5987617019133212,0.7656224100779049
datafly,171,0.12889148597573108,0.036585365853658534,0.24892248524633645,0.9263920895630867,0.4402977276815226,0.06633296054961743,0.6715482863577817,0.5007458975634013
