algo,no,knn_pca_auroc,knn_pca_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,9,0.6261596137379204,0.7430797281617769,0.6284591251538069,0.7430797281617769,0.630049218193462,0.7430797281617769,0.6587098932886244,0.7430797281617769
datafly_shuffled,9,0.7377483396055349,0.7218630863583624,0.7518688522230937,0.7430797281617769,0.7356867161247148,0.734626222443229,0.7266717995581876,0.734626222443229
mondrian,9,0.7507094183762314,0.7503729487817007,0.7617725745288654,0.7430797281617769,0.845781770559749,0.8032487982761478,0.8141256934800285,0.7454002983590253
datafly,10,0.7599401322559058,0.7356207525277639,0.7182843430018779,0.7430797281617769,0.7169202650874631,0.7415879330349743,0.7135408316723392,0.7415879330349743
datafly_shuffled,10,0.5985736078231023,0.5315763301839881,0.6620540680563851,0.7430797281617769,0.6187003950407634,0.7430797281617769,0.6401229735272319,0.7429139731476877
mondrian,10,0.7374569880480382,0.7540195590916625,0.792985112216042,0.7483838886126305,0.8527803242356429,0.8102105088678933,0.8169632950285306,0.7636333499088347
datafly,11,0.599841048261173,0.7349577324714073,0.6845942017514193,0.7430797281617769,0.6996504356961425,0.7430797281617769,0.7072491778978651,0.7430797281617769
datafly_shuffled,11,0.6151060997459938,0.7273330018233052,0.6402214099141559,0.7430797281617769,0.6335563742597483,0.7422509530913309,0.6358813582494441,0.7422509530913309
mondrian,11,0.7444000633216524,0.7541853141057517,0.8177338044080505,0.743245483175866,0.8733265454440791,0.785513011768606,0.8370895785512292,0.7813691364163766
datafly,12,0.6152051117843034,0.7642963699651915,0.612713332805653,0.7664511851483508,0.6365437890813324,0.7661196751201724,0.6369219200851965,0.7656224100779049
datafly_shuffled,12,0.6949164226144646,0.7356207525277639,0.7253844271908932,0.7430797281617769,0.7576079526238909,0.7430797281617769,0.7569980499809316,0.7425824631195094
mondrian,12,0.7535957344232334,0.7475551135421846,0.7631915551941744,0.743245483175866,0.8235922085584971,0.7889938670644787,0.8304046829240213,0.7883308470081221
datafly,13,0.6548302188194829,0.7427482181335986,0.6128309815575688,0.7430797281617769,0.6875711109352176,0.7430797281617769,0.6868575910428645,0.7430797281617769
datafly_shuffled,13,0.6248929648205046,0.7430797281617769,0.7488322192080475,0.7430797281617769,0.7594091658091859,0.7430797281617769,0.7603207097781584,0.7430797281617769
mondrian,13,0.7631639958840926,0.7601524946129621,0.8463816712598851,0.760981269683408,0.8521366740302073,0.7931377424167081,0.8410226446863779,0.7856787667826952
datafly,14,0.6326551920157153,0.7581634344438919,0.7652214458923676,0.7455660533731145,0.7948769904945565,0.7619757997679429,0.7882104437552617,0.7611470246974971
datafly_shuffled,14,0.6838563605880279,0.7304823470909995,0.7534493750584645,0.7430797281617769,0.7495358810704237,0.7165589259075087,0.7541835464442733,0.7167246809215979
mondrian,14,0.7412801047685522,0.7437427482181336,0.7371453447792017,0.7429139731476877,0.8301842803997899,0.8004309630366319,0.8122997992415792,0.7913144372617271
datafly,15,0.6407203557525563,0.7717553455992043,0.6279988918710828,0.7664511851483508,0.6284958229296338,0.7642963699651915,0.609058666071827,0.7642963699651915
datafly_shuffled,15,0.6468391701985279,0.7518647439085032,0.5981320112539845,0.7430797281617769,0.6437371287948019,0.7430797281617769,0.6609660869377505,0.7430797281617769
mondrian,15,0.7440793535434941,0.7551798441902867,0.7935187410504199,0.745068788330847,0.8320430587236369,0.7846842366981601,0.8169759593590121,0.7709265705287585
datafly,16,0.5984705662250941,0.5159953588596055,0.61474624567362,0.7662854301342615,0.6443016988911514,0.7659539201060832,0.6259371964338396,0.7659539201060832
datafly_shuffled,16,0.7773011304354083,0.7628045748383888,0.784612550639333,0.7444057682744903,0.7983186662157398,0.7452345433449362,0.8000736833773467,0.7458975634012929
mondrian,16,0.7402052197189383,0.7561743742748218,0.7728558784799926,0.7445715232885795,0.8422838968720543,0.7934692524448864,0.8502275262101272,0.8024200232057019
datafly,17,0.6410885567700201,0.7593237195425162,0.6279988918710828,0.7485496436267197,0.6279988918710828,0.7659539201060832,0.6095945255553236,0.7659539201060832
datafly_shuffled,17,0.7770861246429162,0.7513674788662357,0.7659254675368596,0.7808718713741091,0.8005954394018983,0.7787170561909498,0.8021682628999878,0.7787170561909498
mondrian,17,0.7867748411561958,0.7773910160782364,0.8490709706201924,0.8047405934029505,0.8544166132989862,0.805237858445218,0.8763012959351817,0.8345764959390022
