algo,no,precision,dm,cm,entropy,discern,ilm,auroc,hellinger,bivariate_corr,lr_acc
datafly_shuffled,9,0.2202136242070597,0.06707317073170732,0.24892248524633645,0.8549640145642349,0.20270995699763505,0.05734194563449513,,0.4602138038428068,6.435589644832734e-05,0.5731808387203713
datafly_shuffled,65,0.16450334858431134,0.04878048780487805,0.20675021550295072,0.940847555524249,0.5007359700624386,0.06105435121886527,,0.44306819186849583,0.0002971202537466939,0.7817006464445551
datafly,152,0.12539508874300995,0.036585365853658534,0.24892248524633645,0.9291192794248953,0.4410939321229009,0.06399548131148708,0.6655948277723011,0.4524661116093855,0.0015427695589474875,0.5007458975634013
datafly_shuffled,70,0.13239755321265168,0.042682926829268296,0.24892248524633645,0.9209193218790496,0.4040557050104183,0.0649876035263237,,0.4729193676950866,0.2050218964901476,0.5821316094811868
mondrian,95,0.5125625807921674,0.8048780487804879,0.1470393209999337,0.4396256237833109,0.0008273691757060994,0.048815755690258894,,0.4450122110193632,0.007380059512866794,0.7730813857119178
mondrian,119,0.6755423347377453,0.8597560975609756,0.13334659505337842,0.3987510781770799,0.0005119251693222709,0.04258603465307821,,0.4280654480785357,0.01141840239388257,0.8221448698823139
datafly,10,0.21592704948831865,0.07317073170731707,0.24892248524633645,0.8605217077200357,0.20661163839880609,0.05813050583758275,0.7639761680326395,0.4560485985132328,0.002905157298662737,0.6383225592574175
datafly_shuffled,94,0.1720459518599562,0.06707317073170732,0.24882302234599826,0.9065196602396548,0.3694187299112389,0.06085286472021278,,0.44306819186849583,0.33049929627222313,0.5068788330847008
datafly,149,0.1589472404570873,0.07317073170731707,0.2328758039917777,0.8506436495600264,0.17647202069679555,0.06190939522782934,0.7996128744432371,0.44306819186849583,0.0025460933532064647,0.6996519144704128
datafly,58,0.22183680348341184,0.10365853658536583,0.24892248524633645,0.8307723382831609,0.18309254377092,0.05630705976345623,0.7195400545429687,0.4502566199121899,0.3304599131333443,0.5035637328029173
datafly_shuffled,120,0.2327335167871273,0.11585365853658534,0.22385783436111664,0.7819557792951649,0.07236325121887505,0.05753844965765235,,0.44306819186849583,0.003695002210394449,0.4651085695342284
datafly_shuffled,2,0.21081990584178767,0.06707317073170732,0.24892248524633645,0.8601006944315824,0.23108100020910885,0.058819609879011074,,0.44306819186849583,0.00010848168601255981,0.39996684899718216
mondrian,91,0.6620031360008182,0.9268292682926828,0.1415025528811087,0.43724975021569934,0.001024158116777012,0.0474889304431295,,0.44215244673423226,0.010651571636101571,0.7087684402453174
mondrian,123,0.6742838857137271,0.9268292682926828,0.15847755453882367,0.44388312038598265,0.0005848114279216523,0.04793754344169827,,0.3903560266589883,0.018213501162550542,0.8136913641637661
datafly_shuffled,58,0.16821386733859378,0.06707317073170732,0.247894701942842,0.8784547147957299,0.2507836899626705,0.06240614704983335,,0.44306819186849583,0.00044944780674404,0.5413558760152495
mondrian,75,0.5862224499678796,0.8902439024390244,0.1457131489954247,0.4254330495403075,0.0007958592901868577,0.04632422958782318,,0.4416745320636053,0.018329955695372473,0.7212000663020056
mondrian,29,0.6123958278896449,0.8963414634146342,0.1610304356475035,0.4598868466276652,0.0014424417892952574,0.04776024167961357,,0.46390861817227297,0.014267061408501291,0.7090999502734958
datafly_shuffled,28,0.20900885219813006,0.0975609756097561,0.24892248524633645,0.8109259297529472,0.18871025094333888,0.05939088138146155,,0.4191359714664824,0.0016595162484537706,0.5841206696502569
datafly,106,0.1886023804787481,0.06707317073170732,0.24892248524633645,0.8781082395803029,0.26128140409228223,0.057784761070705994,0.6273771883747203,0.4096298894174858,0.00026076385166655744,0.5007458975634013
mondrian,159,0.5784551148252131,0.8658536585365854,0.15668722233273655,0.4689474630929742,0.000891523329004258,0.048678247344555364,,0.3925360262187727,0.014677736781944516,0.7516989888944141
datafly_shuffled,66,0.17051394690891408,0.07317073170731707,0.24892248524633645,0.8976512468474335,0.3186629963157067,0.05868563820410432,,0.44306819186849583,0.002784843901710227,0.5037294878170064
datafly,66,0.11111111111111116,0.042682926829268296,0.2300245341820834,0.9502108122642184,0.5379713422592597,0.062485292833334136,0.6439514869794852,0.4729193676950866,0.0016199043767235273,0.7613127797115863
datafly,12,0.17114387861105584,0.07926829268292683,0.22544924076652745,0.9242824857279964,0.4422996903299114,0.059744503663954486,0.6635396084131451,0.44306819186849583,0.33313184144721786,0.7661196751201724
datafly_shuffled,38,0.1566628170840425,0.07317073170731707,0.21162389761952125,0.9108734798547432,0.3938060930318059,0.06345662285447203,,0.4550376555416554,0.33322545011378124,0.7757334659373446
mondrian,135,0.6250499776279317,0.9146341463414634,0.1575492341356674,0.4403329796940694,0.0007125679322947554,0.04598013583478594,,0.4621166775159911,0.01374282988078036,0.5673794132272502
datafly_shuffled,24,0.18899746922175809,0.10365853658536583,0.24892248524633645,0.8615979888171114,0.18280701579901207,0.059891571442913724,,0.44306819186849583,0.0031128020370265203,0.5015746726338471
datafly,6,0.13567292177795465,0.042682926829268296,0.24892248524633645,0.8957142115563214,0.3023743992506113,0.06336538788105207,0.6912763630345462,0.4729193676950866,0.13040158006176505,0.5383722857616443
datafly_shuffled,199,0.2409419689233694,0.1402439024390244,0.2433525628273988,0.7775139227414561,0.07324556538647277,0.05683029707614823,,0.44306819186849583,0.004343880194990945,0.5541190121001159
