algo,no,auroc,lr_acc
mondrian,20,0.8378228145035367,0.7642963699651915
datafly,21,0.6463266965525676,0.7430797281617769
datafly_shuffled,21,0.6631083016125434,0.7427482181335986
mondrian,21,0.8393106574658387,0.8007624730648102
datafly,22,0.6810340857576652,0.7376098126968341
datafly_shuffled,22,0.6590892475516827,0.7440742582463119
mondrian,22,0.8445703841753435,0.7734128957400961
datafly,23,0.6833717340778426,0.7440742582463119
datafly_shuffled,23,0.6882097241910299,0.7815348914304657
mondrian,23,0.850274801580163,0.7986076578816509
datafly,24,0.764971397321782,0.7430797281617769
datafly_shuffled,24,0.6308275708231095,0.7430797281617769
mondrian,24,0.858873594151382,0.8110392839383391
datafly,25,0.7639832917185353,0.7430797281617769
datafly_shuffled,25,0.7518746087369489,0.7301508370628211
mondrian,25,0.8444323717556648,0.7838554616277142
datafly,26,0.7324416973081102,0.7152328857947953
datafly_shuffled,26,0.6622312967267023,0.7427482181335986
mondrian,26,0.8547430076345766,0.7891596220785678
datafly,27,0.6466494930669986,0.7430797281617769
datafly_shuffled,27,0.6256441179221862,0.779877341289574
mondrian,27,0.84353881689249,0.8068954085861098
datafly,28,0.7079997553481612,0.7430797281617769
datafly_shuffled,28,0.7524683931411138,0.7248466766119676
mondrian,28,0.8409398228432861,0.7946295375435107
datafly,29,0.6080833687119082,0.7608155146693187
datafly_shuffled,29,0.7241204406611357,0.7669484501906183
mondrian,29,0.8597060580112683,0.7956240676280457
datafly,30,0.7338708957855123,0.727167246809216
datafly_shuffled,30,0.640480309124794,0.7430797281617769
mondrian,30,0.8719023119598772,0.8184982595723521
datafly,31,0.6938875896756923,0.7430797281617769
datafly_shuffled,31,0.6407985004281407,0.7528592739930383
mondrian,31,0.8504361278809551,0.8112050389524283
datafly,32,0.8033244587078066,0.7458975634012929
datafly_shuffled,32,0.6813027710418571,0.7430797281617769
mondrian,32,0.8508562094795392,0.7896568871208354
datafly,33,0.7662107027983852,0.7546825791480192
datafly_shuffled,33,0.6873966885654047,0.7775567710923256
mondrian,33,0.8757716247040792,0.819327034642798
datafly,34,0.7991181020773819,0.7442400132604011
datafly_shuffled,34,0.537511459060393,0.7430797281617769
mondrian,34,0.8309483856576457,0.7957898226421349
datafly,35,0.6321630820375181,0.7425824631195094
datafly_shuffled,35,0.6156268483806208,0.7606497596552295
mondrian,35,0.8116808300892979,0.7773910160782364
datafly,36,0.626521698459413,0.760981269683408
datafly_shuffled,36,0.6871990962273248,0.7785513011768606
mondrian,36,0.7946098162952516,0.7596552295706945
datafly,37,0.6279988918710828,0.7641306149511022
datafly_shuffled,37,0.6585360465701972,0.7417536880490635
mondrian,37,0.8667623207385607,0.813691364163766
datafly,38,0.6882339015492218,0.7856787667826952
datafly_shuffled,38,0.6735076597612486,0.7760649759655229
mondrian,38,0.8583029797154843,0.7782197911486822
datafly,39,0.6080833687119082,0.7611470246974971
datafly_shuffled,39,0.7774000705172945,0.7813691364163766
mondrian,39,0.8452263389291444,0.8029172882479695
datafly,40,0.6358974045318155,0.7429139731476877
datafly_shuffled,40,0.7117740136573292,0.7407591579645284
mondrian,40,0.7824696883567313,0.7576661694016243
datafly,41,0.7106414195563168,0.7155643958229736
datafly_shuffled,41,0.6776996970634583,0.7440742582463119
mondrian,41,0.8478940513624948,0.789325377092657
datafly,42,0.6238838479416866,0.7430797281617769
datafly_shuffled,42,0.7604105833507229,0.7430797281617769
mondrian,42,0.8345693048289956,0.7740759157964529
datafly,43,0.603184575421125,0.7430797281617769
datafly_shuffled,43,0.6639432119908183,0.7430797281617769
mondrian,43,0.8030855633828154,0.7749046908668987
datafly,44,0.7237941182819684,0.739433117851815
datafly_shuffled,44,0.6582151928791924,0.7430797281617769
mondrian,44,0.7984512819036791,0.75252776396486
