algo,no,auroc,lr_acc
datafly,59,0.6188396307196362,0.7608155146693187
datafly_shuffled,59,0.7264593122405072,0.7430797281617769
mondrian,59,0.8633415123801026,0.8138571191778551
datafly,60,0.7126922495736582,0.7389358528095475
datafly_shuffled,60,0.7438736301295934,0.7258412066965025
mondrian,60,0.8358266713678197,0.7835239515995359
datafly,61,0.5775368596777791,0.7430797281617769
datafly_shuffled,61,0.6752238204543328,0.7543510691198408
mondrian,61,0.8434323213861685,0.8095474888115366
datafly,62,0.6146858022781403,0.7430797281617769
datafly_shuffled,62,0.6143599835939354,0.7430797281617769
mondrian,62,0.834598591093234,0.7888281120503895
datafly,63,0.6092892144517281,0.7599867395988729
datafly_shuffled,63,0.6871409554373871,0.7381070777391016
mondrian,63,0.8491145762126456,0.7758992209514338
datafly,64,0.7062402768883165,0.7163931708934195
datafly_shuffled,64,0.6843283947241551,0.7800430963036632
mondrian,64,0.8843689061904112,0.8242996850654732
datafly,65,0.6058296215811705,0.7611470246974971
datafly_shuffled,65,0.6881993624660905,0.7831924415713575
mondrian,65,0.8548513740079008,0.8143543842201226
datafly,66,0.6084853172918481,0.7608155146693187
datafly_shuffled,66,0.6159175523303089,0.7430797281617769
mondrian,66,0.8665336432256624,0.8181667495441737
datafly,67,0.6509026933289201,0.7430797281617769
datafly_shuffled,67,0.7778362703546731,0.7588264545002487
mondrian,67,0.8148607283429156,0.7775567710923256
datafly,68,0.6804567074179875,0.7381070777391016
datafly_shuffled,68,0.6581085534600246,0.742250953091331
mondrian,68,0.8637404387902686,0.7962870876844025
datafly,69,0.6270081958366014,0.7430797281617769
datafly_shuffled,69,0.7189530340425838,0.7427482181335986
mondrian,69,0.8669473207025824,0.8145201392342118
datafly,70,0.7014987803386269,0.7487153986408089
datafly_shuffled,70,0.642333330934786,0.7430797281617769
mondrian,70,0.8108716081541019,0.7820321564727333
datafly,71,0.8021702057234139,0.7430797281617769
datafly_shuffled,71,0.6479700373453836,0.7430797281617769
mondrian,71,0.8140222920999044,0.7790485662191281
datafly,72,0.6881682772912725,0.78269517652909
datafly_shuffled,72,0.7075566476941563,0.7430797281617769
mondrian,72,0.8383657257165061,0.7903199071771921
datafly,73,0.666240564714009,0.7430797281617769
datafly_shuffled,73,0.639644535269441,0.7429139731476877
mondrian,73,0.8343283227677318,0.7709265705287585
datafly,74,0.760702438603182,0.7425824631195094
datafly_shuffled,74,0.6354678246853704,0.7430797281617769
mondrian,74,0.8644451799989925,0.7611470246974971
datafly,75,0.6885561943686904,0.779877341289574
datafly_shuffled,75,0.6416402466666187,0.7430797281617769
mondrian,75,0.8274482813208321,0.7938007624730649
datafly,76,0.7319438308160578,0.7371125476545666
datafly_shuffled,76,0.6615921078195045,0.769600530416045
mondrian,76,0.8596546091686874,0.803414553290237
datafly,77,0.7115573528671038,0.7430797281617769
datafly_shuffled,77,0.7462194814820144,0.7430797281617769
mondrian,77,0.8500767775035439,0.7903199071771921
datafly,78,0.6827734164190166,0.7145698657384386
datafly_shuffled,78,0.6483373748857691,0.7430797281617769
mondrian,78,0.8503507875630518,0.8057351234874855
datafly,79,0.609325192663323,0.7430797281617769
datafly_shuffled,79,0.6306728645132507,0.7596552295706945
mondrian,79,0.8179192361106115,0.7510359688380573
datafly,80,0.6279988918710828,0.7659539201060832
datafly_shuffled,80,0.6645434724730701,0.7429139731476877
mondrian,80,0.8538495247278248,0.7992706779380077
datafly,81,0.6429130838364288,0.7439085032322228
datafly_shuffled,81,0.5616016780237887,0.7289905519641969
mondrian,81,0.8588109920632064,0.771423835571026
datafly,82,0.6279988918710828,0.764793635007459
