algo,no,precision,dm,cm,entropy,discern,ilm,hellinger,bivariate_corr,auroc,lr_acc,avg_eq_size,ambiguity,granularity,dse
datafly,8,0.1695303693389033,0.08536585365853659,0.2488893309462237,0.8986085556444932,0.33565115768700005,0.062036951680437824,0.4412315930498032,0.3046627939898112,0.5556096507954783,0.7425824631195094,0.06666666666666668,0.08769481534408073,0.057611324750225526,0.240076490756666
datafly_shuffled,8,0.2431881727560065,0.10365853658536583,0.24892248524633645,0.8078717305484534,0.18565798002898928,0.05845590316356715,0.4633465336888079,0.2830601288426937,0.7603233721658162,0.7430797281617769,0.024390243902439025,0.02685593035702444,0.05348764857483911,0.239627979380263
mondrian,8,0.5774396644590201,0.8475609756097561,0.14471851999204294,0.4439802220531364,0.0011359914996252516,0.048112796983017785,0.4290687029704362,0.015182611838725575,0.8516177962625834,0.7974473727830267,0.00015817779183802593,9.576681129582867e-05,0.02923584013579888,0.21306433376071726
datafly,9,0.12889148597573108,0.03658536585365853,0.24892248524633645,0.9311360658999188,0.4601084475595813,0.06509553694601995,0.44306819186849583,3.792492408604114e-05,0.630049218193462,0.7430797281617769,0.16666666666666666,0.19066043365824545,0.06118872670448455,0.2419475239041557
datafly_shuffled,9,0.2202136242070597,0.06707317073170732,0.24892248524633645,0.8549640145642349,0.20270995699763505,0.05734194563449513,0.4602138038428068,6.435589644832734e-05,0.7356861404733293,0.734626222443229,0.041666666666666664,0.039895042958500285,0.05599507443176975,0.2382965405435513
mondrian,9,0.6603750467784357,0.8963414634146342,0.1647105629600159,0.44800924272709625,0.0007925660641694279,0.04370494160879088,0.43543542742142505,0.016430003964195753,0.845605765148626,0.8035803083043263,0.00025265285497726126,0.0001779109708538329,0.023781941973321823,0.20019924600898006
datafly,10,0.21592704948831865,0.07317073170731707,0.24892248524633645,0.8605217077200357,0.20661163839880609,0.05813050583758275,0.4560485985132328,0.002905157298662737,0.716919905305347,0.7415879330349743,0.05555555555555555,0.04392376405505508,0.056165900093497166,0.2394947612100392
datafly_shuffled,10,0.17049736975885774,0.07317073170731707,0.24892248524633645,0.8902105370283249,0.30459237378285897,0.062010367592237686,0.4406838881254658,0.3318668627783281,0.6187328473876221,0.7430797281617769,0.05555555555555555,0.0806615703771065,0.05738494382376974,0.2408541646802609
mondrian,10,0.5316960852914727,0.8170731707317073,0.15214508321729328,0.4668750117161973,0.0011488500303168054,0.0534934850526204,0.4617782618113265,0.02077134115791223,0.8528702697646305,0.8105420188960716,0.00023601604909133822,0.00016473496117408473,0.03190393511767918,0.22987925398270706
datafly,11,0.1545446256879517,0.13414634146341464,0.24215900802334064,0.8758571199824802,0.2427818718205117,0.061800812412289,0.4482960731225314,0.011205714825051564,0.6996574154691919,0.7430797281617769,0.04166666666666667,0.08150286074246688,0.057419277532020876,0.24035264761416264
datafly_shuffled,11,0.1811647658201269,0.06707317073170732,0.24892248524633645,0.8766733210380694,0.2995098224335181,0.0647807732553156,0.4522409225946726,0.0002722015311996916,0.6333947601332632,0.7422509530913309,0.05555555555555555,0.10361381871228698,0.058158380050102425,0.2419321771301833
mondrian,11,0.6012266945162044,0.8841463414634146,0.14107154697964325,0.4422184475280129,0.0007533375427708827,0.04815235116606798,0.4376277316279231,0.015319477913511388,0.8735442136242292,0.7865075418531411,0.00021710811984368216,0.00013564169455042977,0.026745569223138886,0.2080441009489508
datafly,12,0.17114387861105584,0.07926829268292683,0.22544924076652745,0.9242824857279964,0.4422996903299114,0.059744503663954486,0.44306819186849583,0.33313184144721786,0.6365437890813324,0.7661196751201724,0.05,0.062175364144729565,0.057241009290799165,0.2317493623367441
datafly_shuffled,12,0.20232733977263528,0.1097560975609756,0.2368874743054174,0.7966204119710629,0.1251805948648687,0.05943762759688469,0.4076459967324084,0.27052176572098346,0.7576073050160823,0.7430797281617769,0.01886792452830189,0.019673299331004868,0.05223305225877211,0.24239251970148856
mondrian,12,0.6050104150810993,0.9329268292682928,0.14508321729328294,0.4262443621760229,0.0009038740257772363,0.04866634769362056,0.4284170542783978,0.011671590041363537,0.8235955185539636,0.7889938670644787,0.00015837820715869496,8.932908543752097e-05,0.02674130838879257,0.2079272452858611
datafly,13,0.15666419851321367,0.13414634146341464,0.24892248524633645,0.8766898511872157,0.2322459426389234,0.06087643413628027,0.44306819186849583,0.3332317406559208,0.6875965835090269,0.7430797281617769,0.043478260869565216,0.06507940454876998,0.056864075435372835,0.2397006191598352
datafly_shuffled,13,0.18505625179585794,0.06707317073170732,0.24892248524633645,0.8836417029359704,0.2495182315916217,0.0636913916881361,0.4729193676950866,0.007736080688483166,0.7594114684147281,0.7430797281617769,0.0625,0.14139701169241653,0.05967241188055715,0.24196573371509114
mondrian,13,0.5717602322719721,0.8841463414634146,0.15158146011537696,0.4428365790152149,0.0009773648485653984,0.04865787860316268,0.4340182671305667,0.013537977071385841,0.8520556510976951,0.7936350074589756,0.00015299877600979188,9.332497958161927e-05,0.028936539849765543,0.21410911466337995
datafly,14,0.2580901097038951,0.0975609756097561,0.2334062727935813,0.8031292933514842,0.11504747690939628,0.05432300064745227,0.3953274567955257,0.4354275638026639,0.7948618796456866,0.7619757997679429,0.015625,0.009338686737873985,0.051696254849493986,0.23791832845930985
datafly_shuffled,14,0.23232599518157504,0.0975609756097561,0.24892248524633645,0.8027477658377578,0.12564346899353618,0.059251576042217535,0.44306819186849583,0.3019893072186034,0.7495322832492641,0.7165589259075087,0.013698630136986302,0.02232768447210461,0.052904767519339146,0.2422768623448255
mondrian,14,0.6485802453040881,0.8902439024390244,0.13593263046217094,0.4052347793845366,0.0004157620902472228,0.0454895067846011,0.4183401808410357,0.01828390006376214,0.8298754434314579,0.8000994530084535,0.00012850167052171679,8.491025378301e-05,0.0238457837991368,0.2337492377079208
datafly,15,0.12506216431271133,0.04878048780487805,0.22544924076652745,0.9488267293480565,0.5326417264109089,0.0617540282474637,0.44306819186849583,0.0019721529433992455,0.6279988918710828,0.7642963699651915,0.125,0.11229361448179832,0.060157584346899724,0.2325731995002473
