algo,no,avg_eq_size,ambiguity,granularity,dse
datafly_shuffled,33,0.043478260869565216,0.023656698273766107,0.05496660491458665,0.23432277268170515
mondrian,33,0.00015835312747426763,8.865599431047246e-05,0.029055176939303456,0.20867086081067696
datafly,34,0.01075268817204301,0.009662031379755668,0.0510751507913578,0.23782411693675884
datafly_shuffled,34,0.16666666666666666,0.23232875803991776,0.061736994130559185,0.24139583702617268
mondrian,34,0.00031436655139893113,0.00023058830961697444,0.03434510078274665,0.2315633819120681
datafly,35,0.027777777777777776,0.05665967268811907,0.05510666798364892,0.24077376165124456
datafly_shuffled,35,0.16666666666666669,0.22139336471940405,0.0615931073763419,0.23664727654558934
mondrian,35,0.0003598416696653473,0.0002837801727533855,0.03313894282802708,0.21135142497518364
datafly,36,0.05263157894736842,0.036394580377074916,0.05572660423211216,0.23053695720309572
datafly_shuffled,36,0.03571428571428572,0.041956766792653005,0.056046824361154136,0.23401918224500684
mondrian,36,0.0001450536698578474,8.710338105397717e-05,0.026637625748264285,0.2090146584629519
datafly,37,0.125,0.11147212460122743,0.06014677526952379,0.23258326900414283
datafly_shuffled,37,0.03125,0.0250925004973145,0.05504588925478312,0.239448783793326
mondrian,37,0.0002886836027713626,0.00018446433198916688,0.03130839032829351,0.22050300732948358
datafly,38,0.125,0.05951196870234071,0.059463089007696326,0.2324130539832042
datafly_shuffled,38,0.043478260869565216,0.04265705928725622,0.05608082448368932,0.24102838426950893
mondrian,38,0.0001372495196266813,8.570153710038057e-05,0.024864126240151104,0.24561769311544826
datafly,39,0.125,0.16579360343036495,0.06086153156990718,0.23306712195004814
datafly_shuffled,39,0.043478260869565216,0.037814935152644856,0.05578676668430503,0.2377511108301329
mondrian,39,0.00014682131845543972,0.0001032073448604458,0.029888483327073553,0.23311504086762216
datafly,40,0.25,0.2247861547642729,0.0616377493506165,0.24277566524607727
datafly_shuffled,40,0.018518518518518517,0.016748266842046146,0.05213369530262602,0.2387947303049572
mondrian,40,0.00018301610541727673,0.00012558664599698785,0.021356567198574677,0.2159126129918341
datafly,41,0.03125,0.029856552394845613,0.055347593385808906,0.2401909504708747
datafly_shuffled,41,0.034482758620689655,0.04669838428044117,0.05634821342938645,0.23936193959992538
mondrian,41,0.00014353380221042054,8.473227889192995e-05,0.024242485402665853,0.19813414443298238
datafly,42,0.16666666666666666,0.19066043365824545,0.06118872670448455,0.2429422280537429
datafly_shuffled,42,0.024999999999999998,0.02717231710667159,0.0533140756347972,0.23820762962072195
mondrian,42,0.0002277904328018223,0.00018054274437015382,0.026974893980719773,0.24791829749304867
datafly,43,0.08333333333333333,0.10712912178995329,0.058270892782101506,0.23972679722591309
datafly_shuffled,43,0.05263157894736842,0.03274792311991436,0.0554985825555704,0.23998161249663102
mondrian,43,0.00013610997686130393,8.374959416169986e-05,0.02718610772626714,0.21869102239153757
datafly,44,0.014084507042253521,0.016751762703622657,0.0525950043590347,0.23911749690952225
datafly_shuffled,44,0.0625,0.05801190239374047,0.05669322172959458,0.24177987098215545
mondrian,44,0.0002039151712887439,0.00012872533266131876,0.024256778704682635,0.249995518699876
datafly,45,0.08333333333333334,0.0697080211303406,0.057651570040528385,0.24012779225720365
datafly_shuffled,45,0.02040816326530612,0.013273797682988054,0.05110812747914849,0.23694781891143746
mondrian,45,0.00024189646831156264,0.00013637218236779632,0.029084931561699875,0.19974273972927872
datafly,46,0.018518518518518517,0.015260924341887146,0.05185437655618762,0.2375517399033545
datafly_shuffled,46,0.05555555555555556,0.0829127473547605,0.05746034492848099,0.23970368434152658
